slice_idx,mse_D10,mse_D20,mse_D4,mse_D50,mse_NORMAL,mse_raw_D10,mse_raw_D20,mse_raw_D4,mse_raw_D50,mse_raw_NORMAL,psnr_D10,psnr_D20,psnr_D4,psnr_D50,psnr_NORMAL,psnr_raw_D10,psnr_raw_D20,psnr_raw_D4,psnr_raw_D50,psnr_raw_NORMAL
0,3.841237412416376e-05,5.036373477196321e-05,3.309864769107662e-05,8.181657904060557e-06,2.9291775717865676e-05,3.841237412416376e-05,5.036373477196321e-05,3.309864769107662e-05,8.181657904060557e-06,2.9291775717865676e-05,39.74462263395142,38.56042632784262,40.39971735262753,46.56795623231045,40.938649699320464,39.74462263395142,38.56042632784262,40.39971735262753,46.56795623231045,40.938649699320464
1,0.0002554369275458157,0.000315826473524794,0.00023258884903043509,5.6315424444619566e-05,0.00020139133266638964,0.0002554369275458157,0.000315826473524794,0.00023258884903043509,5.6315424444619566e-05,0.00020139133266638964,31.508217402593814,30.66398037072829,31.910939035508772,38.6145077110337,32.53934897059847,31.508217402593814,30.66398037072829,31.910939035508772,38.6145077110337,32.53934897059847
2,0.0002927590685430914,0.0003857665869873017,0.0002457081573083997,5.7463541452307254e-05,0.00022194701887201518,0.0002927590685430914,0.0003857665869873017,0.0002457081573083997,5.7463541452307254e-05,0.00022194701887201518,30.914569999435468,29.807010966548575,31.66972558234118,38.44569134192909,32.11402400523717,30.914569999435468,29.807010966548575,31.66972558234118,38.44569134192909,32.11402400523717
3,0.00017965653387364,0.0002371130249230191,0.0001450832060072571,3.604306766646914e-05,0.00011764639202738181,0.00017965653387364,0.0002371130249230191,0.0001450832060072571,3.604306766646914e-05,0.00011764639202738181,33.027451062078725,31.819862329869448,33.959497405177316,40.08430314428926,34.87469465485066,33.027451062078725,31.819862329869448,33.959497405177316,40.08430314428926,34.87469465485066
4,0.00030438415706157684,0.0003463104658294469,0.0002410886954749003,6.507760554086417e-05,0.00020775292068719864,0.00030438415706157684,0.0003463104658294469,0.0002410886954749003,6.507760554086417e-05,0.00020775292068719864,30.918508860527897,30.221884421891083,31.761845626467323,38.06936881684793,32.41728264019535,30.918508860527897,30.221884421891083,31.761845626467323,38.06936881684793,32.41728264019535
5,0.00021021794236730784,0.00023668714857194573,0.000159267641720362,3.87034124287311e-05,0.00013198191300034523,0.00021021794236730784,0.00023668714857194573,0.000159267641720362,3.87034124287311e-05,0.00013198191300034523,32.34411841462854,31.830963818279752,33.55239992978048,39.918610178855275,34.37247859671082,32.34411841462854,31.830963818279752,33.55239992978048,39.918610178855275,34.37247859671082
6,0.00044415294541977346,0.0005204239278100431,0.0004404707869980484,0.0001305021287407726,0.00042480244883336127,0.00044415294541977346,0.0005204239278100431,0.0004404707869980484,0.0001305021287407726,0.00042480244883336127,31.030471398772335,30.695271125917106,31.134653481966296,36.7405622946876,31.09852997567726,31.030471398772335,30.695271125917106,31.134653481966296,36.7405622946876,31.09852997567726
7,5.7778528571361676e-05,7.603691483382136e-05,5.294258880894631e-05,2.724851219682023e-05,5.2931114623788744e-05,5.7778528571361676e-05,7.603691483382136e-05,5.294258880894631e-05,2.724851219682023e-05,5.2931114623788744e-05,37.98471725989147,36.7766198595589,38.372236288271374,42.29665094582009,38.38198830096887,37.98471725989147,36.7766198595589,38.372236288271374,42.29665094582009,38.38198830096887
8,0.0002181125892093405,0.000258766085607931,0.0001792565599316731,4.656063538277522e-05,0.0001586465659784153,0.0002181125892093405,0.000258766085607931,0.0001792565599316731,4.656063538277522e-05,0.0001586465659784153,32.186315295844054,31.44199850205732,33.04198871450822,39.21205809597335,33.57606116103571,32.186315295844054,31.44199850205732,33.04198871450822,39.21205809597335,33.57606116103571
9,0.00021207290410529822,0.0003856043331325054,0.00014562532305717468,0.00020008394494652748,0.0001000355405267328,0.00021207290410529822,0.0003856043331325054,0.00014562532305717468,0.00020008394494652748,0.0001000355405267328,32.33503322077531,30.071412799949844,33.9942487161076,37.29554160440368,35.64580115658225,32.33503322077531,30.071412799949844,33.9942487161076,37.29554160440368,35.64580115658225
