slice_idx,mse_D10,mse_D20,mse_D4,mse_D50,mse_NORMAL,mse_raw_D10,mse_raw_D20,mse_raw_D4,mse_raw_D50,mse_raw_NORMAL,psnr_D10,psnr_D20,psnr_D4,psnr_D50,psnr_NORMAL,psnr_raw_D10,psnr_raw_D20,psnr_raw_D4,psnr_raw_D50,psnr_raw_NORMAL
0,3.8519861845998093e-05,5.037156370235607e-05,3.3014119253493845e-05,8.181657904060557e-06,2.929272704932373e-05,3.8519861845998093e-05,5.037156370235607e-05,3.3014119253493845e-05,8.181657904060557e-06,2.929272704932373e-05,39.73410241916355,38.55958599705531,40.41379758253066,46.56795623231045,40.94048292762676,39.73410241916355,38.55958599705531,40.41379758253066,46.56795623231045,40.94048292762676
1,0.0002548594493418932,0.000315563433105126,0.0002315018355147913,5.6315424444619566e-05,0.00019990872533526272,0.0002548594493418932,0.000315563433105126,0.0002315018355147913,5.6315424444619566e-05,0.00019990872533526272,31.518789928528594,30.667418961232926,31.93238599480696,38.6145077110337,32.572390359316955,31.518789928528594,30.667418961232926,31.93238599480696,38.6145077110337,32.572390359316955
2,0.0002922633138950914,0.0003858440031763166,0.00024481344735249877,5.7463541452307254e-05,0.00022066052770242095,0.0002922633138950914,0.0003858440031763166,0.00024481344735249877,5.7463541452307254e-05,0.00022066052770242095,30.922246504612648,29.805914061962444,31.686309394066175,38.44569134192909,32.139859530279026,30.922246504612648,29.805914061962444,31.686309394066175,38.44569134192909,32.139859530279026
3,0.0001799023593775928,0.0002373410970903933,0.00014510535402223468,3.604306766646914e-05,0.00011714480933733284,0.0001799023593775928,0.0002373410970903933,0.00014510535402223468,3.604306766646914e-05,0.00011714480933733284,33.02144044300357,31.815386457893165,33.95887255202437,40.08430314428926,34.89296256524021,33.02144044300357,31.815386457893165,33.95887255202437,40.08430314428926,34.89296256524021
4,0.0003043715551029891,0.0003472576499916613,0.0002399825898464769,6.507760554086417e-05,0.00020670123922172934,0.0003043715551029891,0.0003472576499916613,0.0002399825898464769,6.507760554086417e-05,0.00020670123922172934,30.918806209992294,30.2099744445568,31.782553526741193,38.06936881684793,32.4398037648067,30.918806209992294,30.2099744445568,31.782553526741193,38.06936881684793,32.4398037648067
5,0.00021025327441748232,0.00023653007519897074,0.00015948490181472152,3.87034124287311e-05,0.00013176811626181006,0.00021025327441748232,0.00023653007519897074,0.00015948490181472152,3.87034124287311e-05,0.00013176811626181006,32.34376261319907,31.83381569533297,33.54725183837549,39.918610178855275,34.380212681620705,32.34376261319907,31.83381569533297,33.54725183837549,39.918610178855275,34.380212681620705
6,0.00044554888154380023,0.0005223075859248638,0.00044277499546296895,0.0001305021287407726,0.0004273233935236931,0.00044554888154380023,0.0005223075859248638,0.00044277499546296895,0.0001305021287407726,0.0004273233935236931,31.01791646837677,30.683422650179708,31.113545954952517,36.7405622946876,31.083870566889257,31.01791646837677,30.683422650179708,31.113545954952517,36.7405622946876,31.083870566889257
7,5.791474904981442e-05,7.607968291267753e-05,5.296215749694966e-05,2.724851219682023e-05,5.2818420954281464e-05,5.791474904981442e-05,7.607968291267753e-05,5.296215749694966e-05,2.724851219682023e-05,5.2818420954281464e-05,37.97781128863686,36.77499283855343,38.37538121524471,42.29665094582009,38.39676022053947,37.97781128863686,36.77499283855343,38.37538121524471,42.29665094582009,38.39676022053947
8,0.00021833134815096855,0.00025904280482791364,0.00017868213762994856,4.656063538277522e-05,0.00015776394866406918,0.00021833134815096855,0.00025904280482791364,0.00017868213762994856,4.656063538277522e-05,0.00015776394866406918,32.18227669335276,31.437392939104885,33.05658654962874,39.21205809597335,33.600761155201994,32.18227669335276,31.437392939104885,33.05658654962874,39.21205809597335,33.600761155201994
9,0.00021101704624015838,0.00038444032543338835,0.0001445147645426914,0.00020008394494652748,9.960027819033712e-05,0.00021101704624015838,0.00038444032543338835,0.0001445147645426914,0.00020008394494652748,9.960027819033712e-05,32.35556817956686,30.084019860184213,34.02747595480791,37.29554160440368,35.666367939128136,32.35556817956686,30.084019860184213,34.02747595480791,37.29554160440368,35.666367939128136
10,2.7847390811075456e-05,3.315343928989023e-05,2.2026415535947308e-05,6.600532287848182e-06,1.723498644423671e-05,2.7847390811075456e-05,3.315343928989023e-05,2.2026415535947308e-05,6.600532287848182e-06,1.723498644423671e-05,41.1596197836751,40.39591079345841,42.19215689794886,47.53471689163753,43.274515124476395,41.1596197836751,40.39591079345841,42.19215689794886,47.53471689163753,43.274515124476395
11,0.0004504109383560717,0.0005338364280760288,0.0003939385060220957,8.49594798637554e-05,0.000318892823997885,0.0004504109383560717,0.0005338364280760288,0.0003939385060220957,8.49594798637554e-05,0.000318892823997885,29.64400592730978,28.996223672639886,30.105447112722945,37.01532080308992,30.85836059867236,29.64400592730978,28.996223672639886,30.105447112722945,37.01532080308992,30.85836059867236
12,0.0002654512645676732,0.000311180017888546,0.0002141105360351503,4.456431634025648e-05,0.00019314177916385233,0.0002654512645676732,0.000311180017888546,0.0002141105360351503,4.456431634025648e-05,0.00019314177916385233,31.370026084160816,30.639925499749296,32.273238403287024,39.51752755531656,32.72345118427533,31.370026084160816,30.639925499749296,32.273238403287024,39.51752755531656,32.72345118427533
13,0.00016381454770453274,0.00019215028441976756,0.0001298498536925763,3.0103870813036337e-05,0.00012146762310294434,0.00016381454770453274,0.00019215028441976756,0.0001298498536925763,3.0103870813036337e-05,0.00012146762310294434,33.42839735698795,32.734373269507245,34.442837820033446,40.98372026149856,34.734637195371974,33.42839735698795,32.734373269507245,34.442837820033446,40.98372026149856,34.734637195371974
14,0.00025941457715816796,0.00032345857471227646,0.00020354967273306102,5.015850911149755e-05,0.00018096617714036256,0.00025941457715816796,0.00032345857471227646,0.00020354967273306102,5.015850911149755e-05,0.00018096617714036256,31.431856329731804,30.472727810520492,32.48996644960265,38.75381143252884,33.00245964194563,31.431856329731804,30.472727810520492,32.48996644960265,38.75381143252884,33.00245964194563
15,0.001104180235415697,0.0009212489821948111,0.000908907619304955,0.00023812249128241092,0.0008497877861373127,0.001104180235415697,0.0009212489821948111,0.000908907619304955,0.00023812249128241092,0.0008497877861373127,33.89055769705199,34.13374229070853,34.10155124310009,38.09536353446826,34.15835492055446,33.89055769705199,34.13374229070853,34.10155124310009,38.09536353446826,34.15835492055446
