slice_idx,mse_D10,mse_D20,mse_D4,mse_D50,mse_NORMAL,mse_raw_D10,mse_raw_D20,mse_raw_D4,mse_raw_D50,mse_raw_NORMAL,psnr_D10,psnr_D20,psnr_D4,psnr_D50,psnr_NORMAL,psnr_raw_D10,psnr_raw_D20,psnr_raw_D4,psnr_raw_D50,psnr_raw_NORMAL
0,3.921874304069206e-05,5.030869579059072e-05,3.3996675483649597e-05,8.181657904060557e-06,3.0246013920987025e-05,3.921874304069206e-05,5.030869579059072e-05,3.3996675483649597e-05,8.181657904060557e-06,3.0246013920987025e-05,39.646105774025344,38.559563015244166,40.2744313766391,46.56795623231045,40.785953609089844,39.646105774025344,38.559563015244166,40.2744313766391,46.56795623231045,40.785953609089844
1,0.000271467404672876,0.00032344995997846127,0.00025204525445587933,5.6315424444619566e-05,0.0002182618627557531,0.000271467404672876,0.00032344995997846127,0.00025204525445587933,5.6315424444619566e-05,0.0002182618627557531,31.24495205285856,30.542383073796717,31.560897978773713,38.6145077110337,32.189145186202275,31.24495205285856,30.542383073796717,31.560897978773713,38.6145077110337,32.189145186202275
2,0.00029728913796134293,0.00039182236650958657,0.00024247902911156416,5.7463541452307254e-05,0.00021653840667568147,0.00029728913796134293,0.00039182236650958657,0.00024247902911156416,5.7463541452307254e-05,0.00021653840667568147,30.849996121861242,29.752417415326025,31.726279215955195,38.44569134192909,32.220364821518494,30.849996121861242,29.752417415326025,31.726279215955195,38.44569134192909,32.220364821518494
3,0.00017910868336912245,0.00023160756973084062,0.00014143483713269234,3.604306766646914e-05,0.00011435578198870644,0.00017910868336912245,0.00023160756973084062,0.00014143483713269234,3.604306766646914e-05,0.00011435578198870644,33.04024435780979,31.922563309319074,34.06934985622554,40.08430314428926,34.995322373540404,33.04024435780979,31.922563309319074,34.06934985622554,40.08430314428926,34.995322373540404
4,0.00031361039145849645,0.0003444998001214117,0.0002460031828377396,6.507760554086417e-05,0.00021060874860268086,0.00031361039145849645,0.0003444998001214117,0.0002460031828377396,6.507760554086417e-05,0.00021060874860268086,30.789166253988093,30.247202664627327,31.673221596767924,38.06936881684793,32.356804437310856,30.789166253988093,30.247202664627327,31.673221596767924,38.06936881684793,32.356804437310856
5,0.00021578535961452872,0.0002422894031042233,0.00016755079559516162,3.87034124287311e-05,0.00014109954645391554,0.00021578535961452872,0.0002422894031042233,0.00016755079559516162,3.87034124287311e-05,0.00014109954645391554,32.22952991098539,31.72960689941466,33.33139901740567,39.918610178855275,34.08065971681677,32.22952991098539,31.72960689941466,33.33139901740567,39.918610178855275,34.08065971681677
6,0.0004585839924402535,0.000522025628015399,0.00045487761963158846,0.0001305021287407726,0.0004395130090415478,0.0004585839924402535,0.000522025628015399,0.00045487761963158846,0.0001305021287407726,0.0004395130090415478,30.830136805624452,30.7006844002364,30.93677765502263,36.7405622946876,30.90664428130292,30.830136805624452,30.7006844002364,30.93677765502263,36.7405622946876,30.90664428130292
7,5.800843791803345e-05,7.439637556672096e-05,5.142209192854352e-05,2.724851219682023e-05,4.949071808368899e-05,5.800843791803345e-05,7.439637556672096e-05,5.142209192854352e-05,2.724851219682023e-05,4.949071808368899e-05,37.96430394050914,36.8695677954741,38.497097627459624,42.29665094582009,38.67580187268973,37.96430394050914,36.8695677954741,38.497097627459624,42.29665094582009,38.67580187268973
8,0.00021841615671291947,0.00025527208345010877,0.00017974711954593658,4.656063538277522e-05,0.0001593687484273687,0.00021841615671291947,0.00025527208345010877,0.00017974711954593658,4.656063538277522e-05,0.0001593687484273687,32.182341688495825,31.50365579417121,33.034144169009565,39.21205809597335,33.56154791193927,32.182341688495825,31.50365579417121,33.034144169009565,39.21205809597335,33.56154791193927
9,0.000213370964047499,0.0003960695175919682,0.00013740704162046313,0.00020008394494652748,9.637213952373713e-05,0.000213370964047499,0.0003960695175919682,0.00013740704162046313,0.00020008394494652748,9.637213952373713e-05,32.299290692017095,29.938423469545135,34.21723683779918,37.29554160440368,35.77211577177687,32.299290692017095,29.938423469545135,34.21723683779918,37.29554160440368,35.77211577177687
