slice_idx,mse_D10,mse_D20,mse_D4,mse_D50,mse_NORMAL,mse_raw_D10,mse_raw_D20,mse_raw_D4,mse_raw_D50,mse_raw_NORMAL,psnr_D10,psnr_D20,psnr_D4,psnr_D50,psnr_NORMAL,psnr_raw_D10,psnr_raw_D20,psnr_raw_D4,psnr_raw_D50,psnr_raw_NORMAL
0,3.9204551285365596e-05,5.043726559961215e-05,3.404635572223924e-05,8.181657904060557e-06,3.0389723178814165e-05,3.9204551285365596e-05,5.043726559961215e-05,3.404635572223924e-05,8.181657904060557e-06,3.0389723178814165e-05,39.647965853042834,38.54842229774843,40.268322072854076,46.56795623231045,40.76515266220596,39.647965853042834,38.54842229774843,40.268322072854076,46.56795623231045,40.76515266220596
1,0.00027170934481546283,0.00032358805765397847,0.00025158876087516546,5.6315424444619566e-05,0.0002173443790525198,0.00027170934481546283,0.00032358805765397847,0.00025158876087516546,5.6315424444619566e-05,0.0002173443790525198,31.241416959747283,30.541418774171177,31.569632112226422,38.6145077110337,32.208184923826124,31.241416959747283,30.541418774171177,31.569632112226422,38.6145077110337,32.208184923826124
2,0.00029745243955403566,0.0003922266187146306,0.00024131186364684254,5.7463541452307254e-05,0.00021484060562215745,0.00029745243955403566,0.0003922266187146306,0.00024131186364684254,5.7463541452307254e-05,0.00021484060562215745,30.847875422294894,29.748771591843248,31.747754592808572,38.44569134192909,32.255054273231686,30.847875422294894,29.748771591843248,31.747754592808572,38.44569134192909,32.255054273231686
3,0.0001791613467503339,0.00023185898317024112,0.00014126961468718946,3.604306766646914e-05,0.00011402250675018877,0.0001791613467503339,0.00023185898317024112,0.00014126961468718946,3.604306766646914e-05,0.00011402250675018877,33.03922721526364,31.91785667736896,34.07499464441968,40.08430314428926,35.00862404099108,33.03922721526364,31.91785667736896,34.07499464441968,40.08430314428926,35.00862404099108
4,0.0003139614418614656,0.0003446106275077909,0.00024572573602199554,6.507760554086417e-05,0.00021026376634836197,0.0003139614418614656,0.0003446106275077909,0.00024572573602199554,6.507760554086417e-05,0.00021026376634836197,30.783182773732506,30.24522739965441,31.678485783166735,38.06936881684793,32.364275470654746,30.783182773732506,30.24522739965441,31.678485783166735,38.06936881684793,32.364275470654746
5,0.00021567079238593578,0.00024239598133135587,0.0001669252524152398,3.87034124287311e-05,0.00014030920283403248,0.00021567079238593578,0.00024239598133135587,0.0001669252524152398,3.87034124287311e-05,0.00014030920283403248,32.23208154301635,31.727651392469618,33.348286381847956,39.918610178855275,34.1059145634528,32.23208154301635,31.727651392469618,33.348286381847956,39.918610178855275,34.1059145634528
6,0.0004571279278025031,0.0005221955361776054,0.00045381177915260196,0.0001305021287407726,0.0004382336337585002,0.0004571279278025031,0.0005221955361776054,0.00045381177915260196,0.0001305021287407726,0.0004382336337585002,30.835346416839414,30.687978604827993,30.94559438589836,36.7405622946876,30.918190433210032,30.835346416839414,30.687978604827993,30.94559438589836,36.7405622946876,30.918190433210032
7,5.799556674901396e-05,7.457672472810373e-05,5.164687900105491e-05,2.724851219682023e-05,4.9519745516590774e-05,5.799556674901396e-05,7.457672472810373e-05,5.164687900105491e-05,2.724851219682023e-05,4.9519745516590774e-05,37.96592205727082,36.859192464319676,38.47889098053841,42.29665094582009,38.67436468038126,37.96592205727082,36.859192464319676,38.47889098053841,42.29665094582009,38.67436468038126
8,0.00021835679945070297,0.0002551707730162889,0.00017928206943906844,4.656063538277522e-05,0.0001584012934472412,0.00021835679945070297,0.0002551707730162889,0.00017928206943906844,4.656063538277522e-05,0.0001584012934472412,32.183877713969025,31.505395708833706,33.046054054785614,39.21205809597335,33.588711657950014,32.183877713969025,31.505395708833706,33.046054054785614,39.21205809597335,33.588711657950014
9,0.00021348778682295233,0.00039512247894890606,0.00013738901179749519,0.00020008394494652748,9.639434574637562e-05,0.00021348778682295233,0.00039512247894890606,0.00013738901179749519,0.00020008394494652748,9.639434574637562e-05,32.297054675465674,29.948012154450833,34.21787862970129,37.29554160440368,35.77138328854956,32.297054675465674,29.948012154450833,34.21787862970129,37.29554160440368,35.77138328854956
