slice_idx,mse_D10,mse_D20,mse_D4,mse_D50,mse_NORMAL,mse_raw_D10,mse_raw_D20,mse_raw_D4,mse_raw_D50,mse_raw_NORMAL,psnr_D10,psnr_D20,psnr_D4,psnr_D50,psnr_NORMAL,psnr_raw_D10,psnr_raw_D20,psnr_raw_D4,psnr_raw_D50,psnr_raw_NORMAL
0,3.9498012483818457e-05,5.114956366014667e-05,3.4808737837010995e-05,8.181657904060557e-06,3.0981944291852415e-05,3.9498012483818457e-05,5.114956366014667e-05,3.4808737837010995e-05,8.181657904060557e-06,3.0981944291852415e-05,39.61730278953739,38.48920467137622,40.171733872590494,46.56795623231045,40.68478440980127,39.61730278953739,38.48920467137622,40.171733872590494,46.56795623231045,40.68478440980127
1,0.0002659493766259402,0.00031582574592903256,0.0002450517495162785,5.6315424444619566e-05,0.0002138496347470209,0.0002659493766259402,0.00031582574592903256,0.0002450517495162785,5.6315424444619566e-05,0.0002138496347470209,31.337445282989364,30.633595116004315,31.68143085132113,38.6145077110337,32.27655856668894,31.337445282989364,30.633595116004315,31.68143085132113,38.6145077110337,32.27655856668894
2,0.0002967346808873117,0.00039213753188960254,0.0002496425004210323,5.7463541452307254e-05,0.00022862300102133304,0.0002967346808873117,0.00039213753188960254,0.0002496425004210323,5.7463541452307254e-05,0.00022862300102133304,30.855511180124566,29.746736574633953,31.597946234343535,38.44569134192909,31.98333480864681,30.855511180124566,29.746736574633953,31.597946234343535,38.44569134192909,31.98333480864681
3,0.00017934579227585346,0.00022868548694532365,0.00014658982399851084,3.604306766646914e-05,0.00012171808339189738,0.00017934579227585346,0.00022868548694532365,0.00014658982399851084,3.604306766646914e-05,0.00012171808339189738,33.03420020290819,31.978064369757107,33.912068521281675,40.08430314428926,34.72301419927632,33.03420020290819,31.978064369757107,33.912068521281675,40.08430314428926,34.72301419927632
4,0.00030977505957707763,0.00034815631806850433,0.00024949436192400753,6.507760554086417e-05,0.0002185470802942291,0.00030977505957707763,0.00034815631806850433,0.00024949436192400753,6.507760554086417e-05,0.0002185470802942291,30.840522199639306,30.1971276883097,31.607685735457665,38.06936881684793,32.19174763503081,30.840522199639306,30.1971276883097,31.607685735457665,38.06936881684793,32.19174763503081
5,0.0002148253406630829,0.0002403138787485659,0.00016755840624682605,3.87034124287311e-05,0.00014162553998176008,0.0002148253406630829,0.0002403138787485659,0.00016755840624682605,3.87034124287311e-05,0.00014162553998176008,32.245833333020684,31.762437328695224,33.32690208340418,39.918610178855275,34.05945533621167,32.245833333020684,31.762437328695224,33.32690208340418,39.918610178855275,34.05945533621167
6,0.0004488838603720069,0.0005236054421402514,0.0004344735643826425,0.0001305021287407726,0.00042397031211294234,0.0004488838603720069,0.0005236054421402514,0.0004344735643826425,0.0001305021287407726,0.00042397031211294234,31.077130066375087,30.775286458143082,31.289801325763396,36.7405622946876,31.26659351674364,31.077130066375087,30.775286458143082,31.289801325763396,36.7405622946876,31.26659351674364
7,5.5834974773461e-05,7.33623091946356e-05,5.042870179750025e-05,2.724851219682023e-05,4.928835551254451e-05,5.5834974773461e-05,7.33623091946356e-05,5.042870179750025e-05,2.724851219682023e-05,4.928835551254451e-05,38.119071827053375,36.92264836529039,38.56511847403013,42.29665094582009,38.6654230434595,38.119071827053375,36.92264836529039,38.56511847403013,42.29665094582009,38.6654230434595
8,0.00022126027033664286,0.0002570813230704516,0.00018713406461756676,4.656063538277522e-05,0.0001717034901957959,0.00022126027033664286,0.0002570813230704516,0.00018713406461756676,4.656063538277522e-05,0.0001717034901957959,32.12275286063189,31.470007259686145,32.85353286794158,39.21205809597335,33.2300782965207,32.12275286063189,31.470007259686145,32.85353286794158,39.21205809597335,33.2300782965207
9,0.00021190594998188317,0.0003810487105511129,0.00014256597205530852,0.00020008394494652748,9.544188651489094e-05,0.00021190594998188317,0.0003810487105511129,0.00014256597205530852,0.00020008394494652748,9.544188651489094e-05,32.34394378688256,30.106529775995558,34.08319454013417,37.29554160440368,35.85154081361597,32.34394378688256,30.106529775995558,34.08319454013417,37.29554160440368,35.85154081361597
10,3.0443727155216038e-05,3.565246151993051e-05,2.482588570273947e-05,6.600532287848182e-06,2.0319212126196362e-05,3.0443727155216038e-05,3.565246151993051e-05,2.482588570273947e-05,6.600532287848182e-06,2.0319212126196362e-05,40.764524928548546,40.07388374520151,41.66186290571453,47.53471689163753,42.54538338229291,40.764524928548546,40.07388374520151,41.66186290571453,47.53471689163753,42.54538338229291
11,0.00045779612264595926,0.0005499536055140197,0.00038889970164746046,8.49594798637554e-05,0.0003167947579640895,0.00045779612264595926,0.0005499536055140197,0.00038889970164746046,8.49594798637554e-05,0.0003167947579640895,29.696349637785914,28.96975696132781,30.2241221297929,37.01532080308992,30.948821687140626,29.696349637785914,28.96975696132781,30.2241221297929,37.01532080308992,30.948821687140626
12,0.00027003473951481283,0.0003168865223415196,0.00021831165940966457,4.456431634025648e-05,0.000200805880012922,0.00027003473951481283,0.0003168865223415196,0.00021831165940966457,4.456431634025648e-05,0.000200805880012922,31.29316630387913,30.55974343936371,32.181886000190346,39.51752755531656,32.54672738700273,31.29316630387913,30.55974343936371,32.181886000190346,39.51752755531656,32.54672738700273
13,0.00014863183605484664,0.000183248586836271,0.00011632024688879028,3.0103870813036337e-05,0.00010648890020092949,0.00014863183605484664,0.000183248586836271,0.00011632024688879028,3.0103870813036337e-05,0.00010648890020092949,33.854716233307116,32.942744162438004,34.92414354157128,40.98372026149856,35.31332830424062,33.854716233307116,32.942744162438004,34.92414354157128,40.98372026149856,35.31332830424062
14,0.0002594916441012174,0.00032605588785372674,0.00021094798285048455,5.015850911149755e-05,0.00018509250367060304,0.0002594916441012174,0.00032605588785372674,0.00021094798285048455,5.015850911149755e-05,0.00018509250367060304,31.427907665016228,30.43696841252067,32.32994862204913,38.75381143252884,32.900934178824215,31.427907665016228,30.43696841252067,32.32994862204913,38.75381143252884,32.900934178824215
15,0.0011229522060602903,0.000938757904805243,0.0010386245558038354,0.00023812249128241092,0.001000106567516923,0.0011229522060602903,0.000938757904805243,0.0010386245558038354,0.00023812249128241092,0.001000106567516923,33.44624222702481,33.782389117187655,33.620786343767236,38.09536353446826,33.76272576268579,33.44624222702481,33.782389117187655,33.620786343767236,38.09536353446826,33.76272576268579
16,0.0002598710998427123,0.0003035954141523689,0.00022610006271861494,5.749532283516601e-05,0.00017666602798271924,0.0002598710998427123,0.0003035954141523689,0.00022610006271861494,5.749532283516601e-05,0.00017666602798271924,31.420389742363962,30.781540704447924,32.03067251997243,38.532391833726095,33.100985611859215,31.420389742363962,30.781540704447924,32.03067251997243,38.532391833726095,33.100985611859215
17,0.000588972179684788,0.0006811252096667886,0.00046046776697039604,0.00012440119462553412,0.0004705865285359323,0.000588972179684788,0.0006811252096667886,0.00046046776697039604,0.00012440119462553412,0.0004705865285359323,28.900441603744042,28.013258112948762,29.95594633988249,35.612105753108736,30.15855190087867,28.900441603744042,28.013258112948762,29.95594633988249,35.612105753108736,30.15855190087867
18,4.8559235438006e-05,6.172376015456393e-05,4.3747637391788885e-05,8.74257784744259e-06,4.173509660176933e-05,4.8559235438006e-05,6.172376015456393e-05,4.3747637391788885e-05,8.74257784744259e-06,4.173509660176933e-05,38.72222159602552,37.67434765291467,39.18181645997021,46.28460524110584,39.3936573140529,38.72222159602552,37.67434765291467,39.18181645997021,46.28460524110584,39.3936573140529
19,0.0012553267879411578,0.0011462824186310172,0.0011732723796740174,0.0002662950719241053,0.001135112950578332,0.0012553267879411578,0.0011462824186310172,0.0011732723796740174,0.0002662950719241053,0.001135112950578332,31.098447214467768,31.23699825223694,31.0989056040662,36.18651714830396,31.350884195652924,31.098447214467768,31.23699825223694,31.0989056040662,36.18651714830396,31.350884195652924
20,0.00023521737603005022,0.0003026272461283952,0.00019543163944035769,4.995819472242147e-05,0.00016598381625954062,0.00023521737603005022,0.0003026272461283952,0.00019543163944035769,4.995819472242147e-05,0.00016598381625954062,31.855752631238314,30.76017435467988,32.66329156520745,38.78911735936425,33.3761002394355,31.855752631238314,30.76017435467988,32.66329156520745,38.78911735936425,33.3761002394355
21,0.00016085169045254588,0.0001923970557982102,0.0001444813678972423,3.4068329114234075e-05,0.00012630605488084257,0.00016085169045254588,0.0001923970557982102,0.0001444813678972423,3.4068329114234075e-05,0.00012630605488084257,33.51923361229367,32.73793847215278,33.99084567159225,40.416775738223265,34.579880786304955,33.51923361229367,32.73793847215278,33.99084567159225,40.416775738223265,34.579880786304955
