ckpt,step,slice_idx,timepoint,psnr_clip3
V7.best,160000,0,D20,50.58320163176708
V7.best,160000,1,D20,42.94905613825726
V7.best,160000,2,D20,43.04693122206315
V7.best,160000,3,D20,45.253013617553535
V7.best,160000,4,D20,43.32076434541534
V7.best,160000,5,D20,44.72910261297329
V7.best,160000,6,D20,39.228560415938176
V7.best,160000,7,D20,48.00878046185424
V7.best,160000,0,D10,53.138832751934544
V7.best,160000,1,D10,45.87070338092883
V7.best,160000,2,D10,46.23954117537198
V7.best,160000,3,D10,47.958811869498746
V7.best,160000,4,D10,45.64023191564792
V7.best,160000,5,D10,47.775951892486646
V7.best,160000,6,D10,40.55602634398872
V7.best,160000,7,D10,51.105906702972874
V7.best,160000,0,D4,55.228379602402626
V7.best,160000,1,D4,48.44395473276937
V7.best,160000,2,D4,49.287666108459234
V7.best,160000,3,D4,50.558806743481426
V7.best,160000,4,D4,48.379432103513224
V7.best,160000,5,D4,50.285254436183735
V7.best,160000,6,D4,41.302270824698404
V7.best,160000,7,D4,54.24499235732881
V7.best,160000,0,NORMAL,57.161246558479576
V7.best,160000,1,NORMAL,50.74808471025244
V7.best,160000,2,NORMAL,52.147855570063015
V7.best,160000,3,NORMAL,53.43591237683208
V7.best,160000,4,NORMAL,50.813181904533025
V7.best,160000,5,NORMAL,53.100853825809196
V7.best,160000,6,NORMAL,42.00048266461188
V7.best,160000,7,NORMAL,56.865896124749966
V7.best,160000,8,D20,44.30969780617386
V7.best,160000,9,D20,41.19164289732494
V7.best,160000,10,D20,51.88962937781909
V7.best,160000,11,D20,41.41311339819798
V7.best,160000,12,D20,43.82266545467132
V7.best,160000,13,D20,45.85314043692827
V7.best,160000,14,D20,43.91161802900241
V7.best,160000,15,D20,41.64571868922552
V7.best,160000,8,D10,46.96070720494431
V7.best,160000,9,D10,43.788713487357384
V7.best,160000,10,D10,53.8661543844411
V7.best,160000,11,D10,44.33479517945855
V7.best,160000,12,D10,46.468820660611414
V7.best,160000,13,D10,49.31706804682079
V7.best,160000,14,D10,46.58129837125517
V7.best,160000,15,D10,42.88732499019788
V7.best,160000,8,D4,49.545303570257715
V7.best,160000,9,D4,46.796054800296346
V7.best,160000,10,D4,56.38942839626519
V7.best,160000,11,D4,46.77773887377987
V7.best,160000,12,D4,49.34959173251717
V7.best,160000,13,D4,51.36986952297433
V7.best,160000,14,D4,49.427330074734755
V7.best,160000,15,D4,43.8912413307831
V7.best,160000,8,NORMAL,51.42733495316661
V7.best,160000,9,NORMAL,51.97116794283352
V7.best,160000,10,NORMAL,58.40917881139687
V7.best,160000,11,NORMAL,49.696493836334795
V7.best,160000,12,NORMAL,51.85385238480001
V7.best,160000,13,NORMAL,53.77588176754699
V7.best,160000,14,NORMAL,51.95651897544195
V7.best,160000,15,NORMAL,44.54155595516073
V7.best,160000,16,D20,43.710590087372594
V7.best,160000,17,D20,41.077014885817874
V7.best,160000,18,D20,50.17907008458454
V7.best,160000,19,D20,38.94493866290169
V7.best,160000,20,D20,43.76309920627246
V7.best,160000,21,D20,44.99425166334689
V7.best,160000,22,D20,51.33126587707248
V7.best,160000,23,D20,42.53400197941677
V7.best,160000,16,D10,46.701691899508035
V7.best,160000,17,D10,43.69449806303399
V7.best,160000,18,D10,52.809332613935496
V7.best,160000,19,D10,40.03838159766809
V7.best,160000,20,D10,46.35536037191946
V7.best,160000,21,D10,47.12698592389624
V7.best,160000,22,D10,54.02122014243908
V7.best,160000,23,D10,45.25223553215746
V7.best,160000,16,D4,49.26861379230708
V7.best,160000,17,D4,46.31997127122784
V7.best,160000,18,D4,55.00099263565946
V7.best,160000,19,D4,40.43043909433827
V7.best,160000,20,D4,48.95637155157067
V7.best,160000,21,D4,48.28643202024503
V7.best,160000,22,D4,56.60085227395868
V7.best,160000,23,D4,48.14616279655881
V7.best,160000,16,NORMAL,52.15655172169353
V7.best,160000,17,NORMAL,48.29967808731499
V7.best,160000,18,NORMAL,56.99328259632948
V7.best,160000,19,NORMAL,40.82397488189041
V7.best,160000,20,NORMAL,50.99653059935308
V7.best,160000,21,NORMAL,49.747348829424595
V7.best,160000,22,NORMAL,59.283186756339305
V7.best,160000,23,NORMAL,51.50544167064943
V7.best,160000,24,D20,50.54460449183452
V7.best,160000,25,D20,41.763159871032386
V7.best,160000,26,D20,39.380380498565316
V7.best,160000,27,D20,52.33921753137116
V7.best,160000,28,D20,43.578408330708214
V7.best,160000,29,D20,47.75531912620869
V7.best,160000,30,D20,46.07510762744516
V7.best,160000,31,D20,43.366900296211384
V7.best,160000,24,D10,53.04694255247337
V7.best,160000,25,D10,42.663626504341636
V7.best,160000,26,D10,40.314276471608835
V7.best,160000,27,D10,53.85130003214569
V7.best,160000,28,D10,46.21079506692165
V7.best,160000,29,D10,50.89478424269058
V7.best,160000,30,D10,49.09203298704283
V7.best,160000,31,D10,46.147350080898704
V7.best,160000,24,D4,55.34834380099777
V7.best,160000,25,D4,43.42831070161664
V7.best,160000,26,D4,41.335418909293715
V7.best,160000,27,D4,56.35465057851262
V7.best,160000,28,D4,49.289500313032946
V7.best,160000,29,D4,53.55350448003122
V7.best,160000,30,D4,51.41100580259645
V7.best,160000,31,D4,48.95360616902359
V7.best,160000,24,NORMAL,57.42036477460563
V7.best,160000,25,NORMAL,44.06813244852566
V7.best,160000,26,NORMAL,41.94432630848472
V7.best,160000,27,NORMAL,58.16768148572237
V7.best,160000,28,NORMAL,51.657843233804996
V7.best,160000,29,NORMAL,56.135207405743046
V7.best,160000,30,NORMAL,53.78853867720528
V7.best,160000,31,NORMAL,51.4370190669206
V7.best,160000,32,D20,48.39435512966077
V7.best,160000,33,D20,43.76908971361782
V7.best,160000,34,D20,50.573195011169716
V7.best,160000,35,D20,44.27524775723941
V7.best,160000,36,D20,49.86810691800484
V7.best,160000,37,D20,72.06678323784207
V7.best,160000,38,D20,44.60295399616108
V7.best,160000,39,D20,50.89352680616244
V7.best,160000,32,D10,50.85818108624228
V7.best,160000,33,D10,46.201361059704666
V7.best,160000,34,D10,53.25396787120343
V7.best,160000,35,D10,46.93067590380505
V7.best,160000,36,D10,52.241439518823555
V7.best,160000,37,D10,71.63469476984426
V7.best,160000,38,D10,45.81534274880403
V7.best,160000,39,D10,52.952153585695996
V7.best,160000,32,D4,53.582251567404526
V7.best,160000,33,D4,49.097547721434665
V7.best,160000,34,D4,55.71479043254534
V7.best,160000,35,D4,49.54845533372213
V7.best,160000,36,D4,54.568510598638156
V7.best,160000,37,D4,66.85438070085505
V7.best,160000,38,D4,46.52681416249604
V7.best,160000,39,D4,55.461344790880204
V7.best,160000,32,NORMAL,55.38112328638745
V7.best,160000,33,NORMAL,51.15470490187114
V7.best,160000,34,NORMAL,57.490379610366745
V7.best,160000,35,NORMAL,51.58489037907488
V7.best,160000,36,NORMAL,56.76537577688528
