ckpt,step,slice_idx,timepoint,psnr_clip3
V7.best,160000,0,D20,50.583203639575316
V7.best,160000,1057,D20,48.50247571315455
V7.best,160000,2115,D20,51.15308237284124
V7.best,160000,3172,D20,41.55737524187742
V7.best,160000,0,D10,53.13882841216896
V7.best,160000,1057,D10,50.58147084484055
V7.best,160000,2115,D10,53.75867456122987
V7.best,160000,3172,D10,43.92619386563044
V7.best,160000,0,D4,55.228386038653056
V7.best,160000,1057,D4,52.359125206981005
V7.best,160000,2115,D4,55.5262329129864
V7.best,160000,3172,D4,46.14753632912512
V7.best,160000,0,NORMAL,57.16123514452697
V7.best,160000,1057,NORMAL,52.93156967785748
V7.best,160000,2115,NORMAL,56.99970153495498
V7.best,160000,3172,NORMAL,47.989199591691644
V7.best,160000,4230,D20,43.93266698762915
V7.best,160000,5287,D20,46.0430655353625
V7.best,160000,6345,D20,50.09558831258555
V7.best,160000,7402,D20,49.90804567116598
V7.best,160000,4230,D10,46.07019775925231
V7.best,160000,5287,D10,48.4942757909341
V7.best,160000,6345,D10,51.849156730415345
V7.best,160000,7402,D10,52.27610951233366
V7.best,160000,4230,D4,48.746624664386445
V7.best,160000,5287,D4,51.07291473873707
V7.best,160000,6345,D4,53.629428919615435
V7.best,160000,7402,D4,54.70325195785456
V7.best,160000,4230,NORMAL,50.484408492057966
V7.best,160000,5287,NORMAL,53.265804474380715
V7.best,160000,6345,NORMAL,54.739453751211286
V7.best,160000,7402,NORMAL,56.34187647669499
V18.best,165000,0,D20,50.61597595799718
V18.best,165000,1057,D20,48.51184198058951
V18.best,165000,2115,D20,51.178036299830765
V18.best,165000,3172,D20,41.5604285337982
V18.best,165000,0,D10,53.1943389753915
V18.best,165000,1057,D10,50.600646321860495
V18.best,165000,2115,D10,53.8158445292041
V18.best,165000,3172,D10,43.93589535181421
V18.best,165000,0,D4,55.30717969387304
V18.best,165000,1057,D4,52.382183887225466
V18.best,165000,2115,D4,55.61164538743036
V18.best,165000,3172,D4,46.167642801082096
V18.best,165000,0,NORMAL,57.278135009360156
V18.best,165000,1057,NORMAL,52.95501813265179
V18.best,165000,2115,NORMAL,57.112332504142316
V18.best,165000,3172,NORMAL,48.019710195555646
V18.best,165000,4230,D20,43.93983650595203
V18.best,165000,5287,D20,46.058115889433594
V18.best,165000,6345,D20,50.12477365227329
V18.best,165000,7402,D20,49.940442496565765
V18.best,165000,4230,D10,46.08879766570112
V18.best,165000,5287,D10,48.52495778454656
V18.best,165000,6345,D10,51.88493500322599
V18.best,165000,7402,D10,52.320794914942226
V18.best,165000,4230,D4,48.791228360560936
V18.best,165000,5287,D4,51.12798101806791
V18.best,165000,6345,D4,53.68171624901588
V18.best,165000,7402,D4,54.770759497033154
V18.best,165000,4230,NORMAL,50.54428291282501
V18.best,165000,5287,NORMAL,53.33514345918596
V18.best,165000,6345,NORMAL,54.80809193766417
V18.best,165000,7402,NORMAL,56.44144285210007
V18.last,200000,0,D20,50.682391931235514
V18.last,200000,1057,D20,48.50869373679579
V18.last,200000,2115,D20,51.18394216259142
V18.last,200000,3172,D20,41.53701114557445
V18.last,200000,0,D10,53.29668047229386
V18.last,200000,1057,D10,50.60356429318939
V18.last,200000,2115,D10,53.89074042918607
V18.last,200000,3172,D10,43.919144806731325
V18.last,200000,0,D4,55.43588781842509
V18.last,200000,1057,D4,52.364474059605755
V18.last,200000,2115,D4,55.69377570120143
V18.last,200000,3172,D4,46.14929393393875
V18.last,200000,0,NORMAL,57.418161730227055
V18.last,200000,1057,NORMAL,52.90984763089514
V18.last,200000,2115,NORMAL,57.21458470380685
V18.last,200000,3172,NORMAL,47.96746768959403
V18.last,200000,4230,D20,43.88207393918337
V18.last,200000,5287,D20,46.06448954363691
V18.last,200000,6345,D20,50.17336317685944
V18.last,200000,7402,D20,49.98455406547211
V18.last,200000,4230,D10,46.02031658846427
V18.last,200000,5287,D10,48.53913199005824
V18.last,200000,6345,D10,51.929145115035055
V18.last,200000,7402,D10,52.33020554461784
V18.last,200000,4230,D4,48.745661357638625
V18.last,200000,5287,D4,51.147423151446134
V18.last,200000,6345,D4,53.729333831715095
V18.last,200000,7402,D4,54.777690294178896
V18.last,200000,4230,NORMAL,50.44111035333712
V18.last,200000,5287,NORMAL,53.28045723629941
V18.last,200000,6345,NORMAL,54.83700404328948
V18.last,200000,7402,NORMAL,56.43102303718996
