slice_idx,mse_hop0_D50_to_D20,mse_hop0_D50_to_D20_raw,mse_hop1_D20_to_D10,mse_hop1_D20_to_D10_raw,mse_hop2_D10_to_D4,mse_hop2_D10_to_D4_raw,mse_hop3_D4_to_NORMAL,mse_hop3_D4_to_NORMAL_raw,psnr_hop0_D50_to_D20,psnr_hop0_D50_to_D20_raw,psnr_hop1_D20_to_D10,psnr_hop1_D20_to_D10_raw,psnr_hop2_D10_to_D4,psnr_hop2_D10_to_D4_raw,psnr_hop3_D4_to_NORMAL,psnr_hop3_D4_to_NORMAL_raw
0,5.049280298408121e-05,5.049280298408121e-05,1.9286897440906614e-05,1.9286897440906614e-05,1.0910859600699041e-05,1.0910859600699041e-05,6.878680778754642e-06,6.878680778754642e-06,38.54941332233356,38.54941332233356,42.74809957339619,42.74809957339619,45.22513489908752,45.22513489908752,47.27220781560207,47.27220781560207
1,0.0003202402440365404,0.0003202402440365404,0.00012509080988820642,0.00012509080988820642,7.908999396022409e-05,7.908999396022409e-05,4.451448694453575e-05,4.451448694453575e-05,30.585965206161525,30.585965206161525,34.62970806641485,34.62970806641485,36.59211758740079,36.59211758740079,39.100700253145334,39.100700253145334
2,0.0003880395961459726,0.0003880395961459726,0.00014283272321335971,0.00014283272321335971,8.085826266324148e-05,8.085826266324148e-05,5.110922938911244e-05,5.110922938911244e-05,29.77289538693043,29.77289538693043,34.02756115784017,34.02756115784017,36.498427792696546,36.498427792696546,38.496333434940865,38.496333434940865
3,0.00022827796055935323,0.00022827796055935323,0.00010449499677633867,0.00010449499677633867,5.879934542463161e-05,5.879934542463161e-05,3.755239231395535e-05,3.755239231395535e-05,31.98580683150668,31.98580683150668,35.3803033913518,35.3803033913518,37.881615188738124,37.881615188738124,39.83444787164596,39.83444787164596
4,0.0003457100538071245,0.0003457100538071245,0.0001380909379804507,0.0001380909379804507,8.462914411211386e-05,8.462914411211386e-05,5.073960346635431e-05,5.073960346635431e-05,30.229805316130005,30.229805316130005,34.355414537373804,34.355414537373804,36.37174078849133,36.37174078849133,38.53488754748764,38.53488754748764
5,0.00023659496218897402,0.00023659496218897402,9.452670929022133e-05,9.452670929022133e-05,5.597246126853861e-05,5.597246126853861e-05,3.6174882552586496e-05,3.6174882552586496e-05,31.831789069889282,31.831789069889282,35.81470071235276,35.81470071235276,38.09327564323,38.09327564323,39.99620843588252,39.99620843588252
6,0.0005287734093144536,0.0005287734093144536,0.00022456854640040547,0.00022456854640040547,0.00013804866466671228,0.00013804866466671228,9.574318391969427e-05,9.574318391969427e-05,30.64927088421508,30.64927088421508,34.32815011327172,34.32815011327172,36.0743967856686,36.0743967856686,37.7132430600178,37.7132430600178
7,7.458392065018415e-05,7.458392065018415e-05,2.986550680361688e-05,2.986550680361688e-05,2.040686013060622e-05,2.040686013060622e-05,1.3483100701705553e-05,1.3483100701705553e-05,36.865551987410235,36.865551987410235,40.85412136423075,40.85412136423075,42.504537369905876,42.504537369905876,44.34764763228634,44.34764763228634
8,0.0002553689409978688,0.0002553689409978688,9.963240881916136e-05,9.963240881916136e-05,5.8035613619722426e-05,5.8035613619722426e-05,3.733454650500789e-05,3.733454650500789e-05,31.499805423444755,31.499805423444755,35.590700666339394,35.590700666339394,37.94261016230004,37.94261016230004,39.88246218189204,39.88246218189204
9,0.0003779605031013489,0.0003779605031013489,0.00014698853192385286,0.00014698853192385286,0.00010373580153100193,0.00010373580153100193,5.41666813660413e-05,5.41666813660413e-05,30.132316536212574,30.132316536212574,33.908924070621,33.908924070621,35.43595581006386,35.43595581006386,38.278793416067096,38.278793416067096
