slice_idx,mse_hop0_D50_to_D20,mse_hop0_D50_to_D20_raw,mse_hop1_D20_to_D10,mse_hop1_D20_to_D10_raw,mse_hop2_D10_to_D4,mse_hop2_D10_to_D4_raw,mse_hop3_D4_to_NORMAL,mse_hop3_D4_to_NORMAL_raw,psnr_hop0_D50_to_D20,psnr_hop0_D50_to_D20_raw,psnr_hop1_D20_to_D10,psnr_hop1_D20_to_D10_raw,psnr_hop2_D10_to_D4,psnr_hop2_D10_to_D4_raw,psnr_hop3_D4_to_NORMAL,psnr_hop3_D4_to_NORMAL_raw
0,5.114956366014667e-05,5.114956366014667e-05,1.753934884618502e-05,1.753934884618502e-05,1.0894461411226075e-05,1.0894461411226075e-05,7.100204584276071e-06,7.100204584276071e-06,38.48920467137622,38.48920467137622,43.16108155345877,43.16108155345877,45.23243311013772,45.23243311013772,47.140129272943895,47.140129272943895
1,0.00031582574592903256,0.00031582574592903256,0.00012390236952342093,0.00012390236952342093,8.204191544791684e-05,8.204191544791684e-05,4.5639950258191675e-05,4.5639950258191675e-05,30.633595116004315,30.633595116004315,34.66904929591662,34.66904929591662,36.43455760163111,36.43455760163111,38.99794529420896,38.99794529420896
2,0.00039213753188960254,0.00039213753188960254,0.00013817330182064325,0.00013817330182064325,8.454253111267462e-05,8.454253111267462e-05,5.08126468048431e-05,5.08126468048431e-05,29.746736574633953,29.746736574633953,34.1701223174658,34.1701223174658,36.30324995363536,36.30324995363536,38.5269820990854,38.5269820990854
3,0.00022868548694532365,0.00022868548694532365,0.000104290789749939,0.000104290789749939,5.909492028877139e-05,5.909492028877139e-05,3.810384441749193e-05,3.810384441749193e-05,31.978064369757107,31.978064369757107,35.38876498058558,35.38876498058558,37.85856604770064,37.85856604770064,39.77624714667595,39.77624714667595
4,0.00034815631806850433,0.00034815631806850433,0.000133584690047428,0.000133584690047428,8.60037689562887e-05,8.60037689562887e-05,4.869706026511267e-05,4.869706026511267e-05,30.1971276883097,30.1971276883097,34.48445685239173,34.48445685239173,36.303771823145865,36.303771823145865,38.72286457603221,38.72286457603221
5,0.0002403138787485659,0.0002403138787485659,9.465774201089516e-05,9.465774201089516e-05,5.702320777345449e-05,5.702320777345449e-05,3.7662219256162643e-05,3.7662219256162643e-05,31.762437328695224,31.762437328695224,35.80826662526381,35.80826662526381,38.01454177038032,38.01454177038032,39.824400196976555,39.824400196976555
6,0.0005236054421402514,0.0005236054421402514,0.0002267011150252074,0.0002267011150252074,0.00013694603694602847,0.00013694603694602847,9.895399125525728e-05,9.895399125525728e-05,30.775286458143082,30.775286458143082,34.39585089780009,34.39585089780009,36.09716366605475,36.09716366605475,37.553840240111924,37.553840240111924
7,7.33623091946356e-05,7.33623091946356e-05,2.9222845114418305e-05,2.9222845114418305e-05,2.0627981939469464e-05,2.0627981939469464e-05,1.3137912901584059e-05,1.3137912901584059e-05,36.92264836529039,36.92264836529039,40.94258562399257,40.94258562399257,42.45051060626703,42.45051060626703,44.448535042386155,44.448535042386155
8,0.0002570813230704516,0.0002570813230704516,9.600755583960563e-05,9.600755583960563e-05,6.075231431168504e-05,6.075231431168504e-05,3.760213076020591e-05,3.760213076020591e-05,31.470007259686145,31.470007259686145,35.753142091257196,35.753142091257196,37.74668218407797,37.74668218407797,39.85903332402364,39.85903332402364
9,0.0003810487105511129,0.0003810487105511129,0.00015050871297717094,0.00015050871297717094,9.696115012047812e-05,9.696115012047812e-05,5.249878449831158e-05,5.249878449831158e-05,30.106529775995558,30.106529775995558,33.822141247153766,33.822141247153766,35.72537203190036,35.72537203190036,38.40443933044567,38.40443933044567
10,3.565246151993051e-05,3.565246151993051e-05,1.0809592822624836e-05,1.0809592822624836e-05,8.460908247798216e-06,8.460908247798216e-06,5.2662990128737874e-06,5.2662990128737874e-06,40.07388374520151,40.07388374520151,45.295655503167666,45.295655503167666,46.344590124711004,46.344590124711004,48.48698386540731,48.48698386540731
11,0.0005499536055140197,0.0005499536055140197,0.00019860478641930968,0.00019860478641930968,0.00013212347403168678,0.00013212347403168678,8.726399391889572e-05,8.726399391889572e-05,28.96975696132781,28.96975696132781,33.08467330505212,33.08467330505212,34.58340424202892,34.58340424202892,36.4846990333601,36.4846990333601
12,0.0003168865223415196,0.0003168865223415196,0.0001153113626060076,0.0001153113626060076,7.54359716665931e-05,7.54359716665931e-05,4.3715939682442695e-05,4.3715939682442695e-05,30.55974343936371,30.55974343936371,35.03248670096535,35.03248670096535,36.795891475232,36.795891475232,39.17604684458611,39.17604684458611
13,0.000183248586836271,0.000183248586836271,6.753752677468583e-05,6.753752677468583e-05,3.9816932257963344e-05,3.9816932257963344e-05,2.434243833704386e-05,2.434243833704386e-05,32.942744162438004,32.942744162438004,37.28091044938188,37.28091044938188,39.573704573864724,39.573704573864724,41.72706048071447,41.72706048071447
14,0.00032605588785372674,0.00032605588785372674,0.00012169891851954162,0.00012169891851954162,7.141588866943493e-05,7.141588866943493e-05,4.10981519962661e-05,4.10981519962661e-05,30.43696841252067,30.43696841252067,34.71777397293967,34.71777397293967,37.03683452921169,37.03683452921169,39.44756053601634,39.44756053601634
15,0.000938757904805243,0.000938757904805243,0.000431257562013343,0.000431257562013343,0.00027553914696909487,0.00027553914696909487,0.00014456373173743486,0.00014456373173743486,33.782389117187655,33.782389117187655,37.465004402469255,37.465004402469255,39.70562333943364,39.70562333943364,41.40618297371728,41.40618297371728
16,0.0003035954141523689,0.0003035954141523689,0.00011286828521406278,0.00011286828521406278,7.514968456234783e-05,7.514968456234783e-05,4.272909427527338e-05,4.272909427527338e-05,30.781540704447924,30.781540704447924,35.045508985645256,35.045508985645256,36.82020898432073,36.82020898432073,39.276784006123435,39.276784006123435
17,0.0006811252096667886,0.0006811252096667886,0.00025785062462091446,0.00025785062462091446,0.0001495175383752212,0.0001495175383752212,9.134421270573512e-05,9.134421270573512e-05,28.013258112948762,28.013258112948762,32.03880298721836,32.03880298721836,34.11272090997355,34.11272090997355,36.3406026045996,36.3406026045996
18,6.172376015456393e-05,6.172376015456393e-05,1.9375378542463295e-05,1.9375378542463295e-05,1.253418577107368e-05,1.253418577107368e-05,8.659301784064155e-06,8.659301784064155e-06,37.67434765291467,37.67434765291467,42.7400526586144,42.7400526586144,44.63483242404533,44.63483242404533,46.27471367807311,46.27471367807311
19,0.0011462824186310172,0.0011462824186310172,0.0004295439866837114,0.0004295439866837114,0.0002654409036040306,0.0002654409036040306,0.00018492082017473876,0.00018492082017473876,31.23699825223694,31.23699825223694,34.26358053840407,34.26358053840407,36.297243856847956,36.297243856847956,37.78850123067194,37.78850123067194
20,0.0003026272461283952,0.0003026272461283952,0.00010978677164530382,0.00010978677164530382,7.130459562176839e-05,7.130459562176839e-05,4.540787631412968e-05,4.540787631412968e-05,30.76017435467988,30.76017435467988,35.16590579838589,35.16590579838589,37.04326981446641,37.04326981446641,39.01798348966027,39.01798348966027
21,0.0001923970557982102,0.0001923970557982102,7.430252298945561e-05,7.430252298945561e-05,5.302521458361298e-05,5.302521458361298e-05,2.985904757224489e-05,2.985904757224489e-05,32.73793847215278,32.73793847215278,36.877245162467304,36.877245162467304,38.34704641334989,38.34704641334989,40.886579123620095,40.886579123620095
22,2.8721546186716296e-05,2.8721546186716296e-05,1.3760421097686049e-05,1.3760421097686049e-05,6.619359737669583e-06,6.619359737669583e-06,5.493935987033183e-06,5.493935987033183e-06,41.04813388551692,41.04813388551692,44.238307225173344,44.238307225173344,47.44912612558706,47.44912612558706,48.3210866142729,48.3210866142729
