slice_idx,mse_hop0_D50_to_D20,mse_hop0_D50_to_D20_raw,mse_hop1_D20_to_D10,mse_hop1_D20_to_D10_raw,mse_hop2_D10_to_D4,mse_hop2_D10_to_D4_raw,mse_hop3_D4_to_NORMAL,mse_hop3_D4_to_NORMAL_raw,psnr_hop0_D50_to_D20,psnr_hop0_D50_to_D20_raw,psnr_hop1_D20_to_D10,psnr_hop1_D20_to_D10_raw,psnr_hop2_D10_to_D4,psnr_hop2_D10_to_D4_raw,psnr_hop3_D4_to_NORMAL,psnr_hop3_D4_to_NORMAL_raw
0,5.261409387458116e-05,5.261409387458116e-05,1.855967093433719e-05,1.855967093433719e-05,1.133386558649363e-05,1.133386558649363e-05,7.234190434246557e-06,7.234190434246557e-06,38.38709397669418,38.38709397669418,42.91514619587626,42.91514619587626,45.053333047636414,45.053333047636414,47.060848786211196,47.060848786211196
1,0.0003232045564800501,0.0003232045564800501,0.00012247884296812117,0.00012247884296812117,8.056453225435689e-05,8.056453225435689e-05,4.465941674425267e-05,4.465941674425267e-05,30.534490160832643,30.534490160832643,34.719198169052305,34.719198169052305,36.511090517637,36.511090517637,39.087274687945026,39.087274687945026
2,0.00038851957651786506,0.00038851957651786506,0.00014488684246316552,0.00014488684246316552,8.793651795713231e-05,8.793651795713231e-05,5.1213526603532955e-05,5.1213526603532955e-05,29.77216568584106,29.77216568584106,33.96666350010287,33.96666350010287,36.130809814418924,36.130809814418924,38.48752810470347,38.48752810470347
3,0.00023326206428464502,0.00023326206428464502,0.00010651997581589967,0.00010651997581589967,5.9197751397732645e-05,5.9197751397732645e-05,3.810701673501171e-05,3.810701673501171e-05,31.89664739794264,31.89664739794264,35.29539080953407,35.29539080953407,37.849543914241366,37.849543914241366,39.77327174695083,39.77327174695083
4,0.00036038830876350403,0.00036038830876350403,0.00013998137728776783,0.00013998137728776783,8.460613753413782e-05,8.460613753413782e-05,5.009635424357839e-05,5.009635424357839e-05,30.047342793461382,30.047342793461382,34.27003924441692,34.27003924441692,36.34726831284932,36.34726831284932,38.59675509050919,38.59675509050919
5,0.0002414113114355132,0.0002414113114355132,9.793854405870661e-05,9.793854405870661e-05,5.806999979540706e-05,5.806999979540706e-05,3.7624591641360894e-05,3.7624591641360894e-05,31.75067540225862,31.75067540225862,35.66033835525518,35.66033835525518,37.93210525675967,37.93210525675967,39.826196026349294,39.826196026349294
6,0.0005425905110314488,0.0005425905110314488,0.00022597693896386772,0.00022597693896386772,0.00013976676564197987,0.00013976676564197987,9.65929648373276e-05,9.65929648373276e-05,30.41784257292676,30.41784257292676,34.39762267960908,34.39762267960908,36.12523762256756,36.12523762256756,37.69264837395906,37.69264837395906
7,7.874068251112476e-05,7.874068251112476e-05,2.976188807224389e-05,2.976188807224389e-05,2.1279704014887102e-05,2.1279704014887102e-05,1.3276296158437617e-05,1.3276296158437617e-05,36.64546680415509,36.64546680415509,40.88001667785274,40.88001667785274,42.32352085274627,42.32352085274627,44.41266785608879,44.41266785608879
8,0.0002698595344554633,0.0002698595344554633,9.957216389011592e-05,9.957216389011592e-05,6.039020445314236e-05,6.039020445314236e-05,3.631603976828046e-05,3.631603976828046e-05,31.264366396656925,31.264366396656925,35.594657404716344,35.594657404716344,37.77007266823189,37.77007266823189,40.006550657036655,40.006550657036655
9,0.0003844144521281123,0.0003844144521281123,0.0001455653109587729,0.0001455653109587729,0.0001059961796272546,0.0001059961796272546,5.31864570803009e-05,5.31864570803009e-05,30.088600033006816,30.088600033006816,33.95974765122592,33.95974765122592,35.33966456747606,35.33966456747606,38.35631255656003,38.35631255656003
10,3.725148053490557e-05,3.725148053490557e-05,1.0948931048915256e-05,1.0948931048915256e-05,8.489662832289468e-06,8.489662832289468e-06,5.262631930236239e-06,5.262631930236239e-06,39.90666135525899,39.90666135525899,45.23704071215171,45.23704071215171,46.33142393761344,46.33142393761344,48.52974078236235,48.52974078236235
11,0.0005428172880783677,0.0005428172880783677,0.00019696053641382605,0.00019696053641382605,0.00013253840734250844,0.00013253840734250844,8.654639532323927e-05,8.654639532323927e-05,28.89720547753567,28.89720547753567,33.088014228484255,33.088014228484255,34.552377877736916,34.552377877736916,36.547348972368844,36.547348972368844
12,0.00032107357401400805,0.00032107357401400805,0.00011483670823508874,0.00011483670823508874,7.323623867705464e-05,7.323623867705464e-05,4.289245407562703e-05,4.289245407562703e-05,30.508833610631523,30.508833610631523,35.038866595299254,35.038866595299254,36.92507628760416,36.92507628760416,39.255657094305036,39.255657094305036
13,0.00018983474001288414,0.00018983474001288414,6.868048512842506e-05,6.868048512842506e-05,3.681298767332919e-05,3.681298767332919e-05,2.4746483177295886e-05,2.4746483177295886e-05,32.80014855598483,32.80014855598483,37.207173987285294,37.207173987285294,39.914589524496876,39.914589524496876,41.65673094596454,41.65673094596454
14,0.0003163010405842215,0.0003163010405842215,0.00012121292093070224,0.00012121292093070224,7.120388909243047e-05,7.120388909243047e-05,4.22021585109178e-05,4.22021585109178e-05,30.57224052540064,30.57224052540064,34.734577368582194,34.734577368582194,37.04669921017148,37.04669921017148,39.3258020751955,39.3258020751955
15,0.0009781986009329557,0.0009781986009329557,0.00041131090256385505,0.00041131090256385505,0.00025831753737293184,0.00025831753737293184,0.00014215319242794067,0.00014215319242794067,33.49799952037361,33.49799952037361,37.44455470313502,37.44455470313502,39.705796574928314,39.705796574928314,41.360948396489505,41.360948396489505
16,0.0003046572383027524,0.0003046572383027524,0.00011366273974999785,0.00011366273974999785,7.300187280634418e-05,7.300187280634418e-05,4.194783105049282e-05,4.194783105049282e-05,30.766804698507052,30.766804698507052,35.01520639710563,35.01520639710563,36.9451430380134,36.9451430380134,39.355749290171204,39.355749290171204
17,0.0007053810986690223,0.0007053810986690223,0.0002542400034144521,0.0002542400034144521,0.00015456840628758073,0.00015456840628758073,9.375836816616356e-05,9.375836816616356e-05,27.779272963601677,27.779272963601677,31.90905989672955,31.90905989672955,33.97421763458594,33.97421763458594,36.211188138291874,36.211188138291874
18,6.1176840972621e-05,6.1176840972621e-05,1.9716995666385628e-05,1.9716995666385628e-05,1.2812603927159216e-05,1.2812603927159216e-05,8.621072083769832e-06,8.621072083769832e-06,37.74262055215473,37.74262055215473,42.650016889723105,42.650016889723105,44.527393351175675,44.527393351175675,46.28821721702725,46.28821721702725
19,0.0012003302108496428,0.0012003302108496428,0.0004340507439337671,0.0004340507439337671,0.00025596487103030086,0.00025596487103030086,0.00018200483464170247,0.00018200483464170247,30.649920670979235,30.649920670979235,34.22283278626336,34.22283278626336,36.24035698003924,36.24035698003924,37.851394521255074,37.851394521255074
20,0.00030094775138422847,0.00030094775138422847,0.00011186249321326613,0.00011186249321326613,7.22434269846417e-05,7.22434269846417e-05,4.3650492443703115e-05,4.3650492443703115e-05,30.787462927562846,30.787462927562846,35.08386447525328,35.08386447525328,36.98545471515199,36.98545471515199,39.193219649064936,39.193219649064936
21,0.000198942085262388,0.000198942085262388,7.457929314114153e-05,7.457929314114153e-05,5.28245946043171e-05,5.28245946043171e-05,2.9695980629185215e-05,2.9695980629185215e-05,32.59935659583472,32.59935659583472,36.862565956955336,36.862565956955336,38.367099825433165,38.367099825433165,40.918067663089374,40.918067663089374
22,3.1453619158128276e-05,3.1453619158128276e-05,1.3549825780501124e-05,1.3549825780501124e-05,6.8856929829053115e-06,6.8856929829053115e-06,5.3862577260588296e-06,5.3862577260588296e-06,40.64798373232708,40.64798373232708,44.31263939822938,44.31263939822938,47.27870658699136,47.27870658699136,48.415769074816126,48.415769074816126
23,0.0004455499874893576,0.0004455499874893576,0.00016094961029011756,0.00016094961029011756,9.956385474652052e-05,9.956385474652052e-05,8.913735655369237e-05,8.913735655369237e-05,29.4610560585033,29.4610560585033,33.786831384703135,33.786831384703135,35.780830590662774,35.780830590662774,36.413967718700434,36.413967718700434
24,5.183136818232015e-05,5.183136818232015e-05,2.0405124814715236e-05,2.0405124814715236e-05,1.414126018062234e-05,1.414126018062234e-05,8.328715921379626e-06,8.328715921379626e-06,38.46587113703539,38.46587113703539,42.49869023128049,42.49869023128049,44.08998097539728,44.08998097539728,46.441857859433696,46.441857859433696
25,0.001158069004304707,0.001158069004304707,0.00042085180757567286,0.00042085180757567286,0.00025671403273008764,0.00025671403273008764,0.00014657874999102205,0.00014657874999102205,31.982812265644068,31.982812265644068,36.92989797639447,36.92989797639447,38.99884499345549,38.99884499345549,40.319803139277944,40.319803139277944
26,0.0006690422305837274,0.0006690422305837274,0.0002714748552534729,0.0002714748552534729,0.0001625881268410012,0.0001625881268410012,0.00012535217683762312,0.00012535217683762312,30.286592474735226,30.286592474735226,34.198979172448226,34.198979172448226,36.16617162882582,36.16617162882582,37.386796527265616,37.386796527265616
27,3.576953895390034e-05,3.576953895390034e-05,1.4111831660557073e-05,1.4111831660557073e-05,7.343200195464306e-06,7.343200195464306e-06,5.486479949468048e-06,5.486479949468048e-06,40.078354394324755,40.078354394324755,44.111581627485634,44.111581627485634,46.959556084822594,46.959556084822594,48.27846999967838,48.27846999967838
28,0.0004005663504358381,0.0004005663504358381,0.00014334490697365254,0.00014334490697365254,7.77868990553543e-05,7.77868990553543e-05,4.661727507482283e-05,4.661727507482283e-05,29.977009602336047,29.977009602336047,34.59479596306449,34.59479596306449,36.96904028057405,36.96904028057405,39.117212192514984,39.117212192514984
29,0.00011429536243667826,0.00011429536243667826,4.209756662021391e-05,4.209756662021391e-05,2.860307358787395e-05,2.860307358787395e-05,1.6653417333145626e-05,1.6653417333145626e-05,35.01015829599818,35.01015829599818,39.34249159857358,39.34249159857358,41.016555131542916,41.016555131542916,43.388479757761544,43.388479757761544
30,0.00017808887059800327,0.00017808887059800327,7.058022310957313e-05,7.058022310957313e-05,3.851293513434939e-05,3.851293513434939e-05,2.473136737535242e-05,2.473136737535242e-05,33.098017136385295,33.098017136385295,37.085497320893566,37.085497320893566,39.718121361540035,39.718121361540035,41.65467887213501,41.65467887213501
31,0.00037322219577617943,0.00037322219577617943,0.0001251161884283647,0.0001251161884283647,7.367842044914141e-05,7.367842044914141e-05,4.579685992212035e-05,4.579685992212035e-05,29.853072253961574,29.853072253961574,34.597755359915155,34.597755359915155,36.901656062572485,36.901656062572485,38.97707710576812,38.97707710576812
32,0.00010740522702690214,0.00010740522702690214,3.235123949707486e-05,3.235123949707486e-05,2.06970489671221e-05,2.06970489671221e-05,1.2127634363423567e-05,1.2127634363423567e-05,35.28260396653241,35.28260396653241,40.49963698198357,40.49963698198357,42.43571860854715,42.43571860854715,44.790607705659795,44.790607705659795
33,0.0002850453311111778,0.0002850453311111778,0.00012303573021199554,0.00012303573021199554,6.908860086696222e-05,6.908860086696222e-05,4.194500434095971e-05,4.194500434095971e-05,31.02561409555476,31.02561409555476,34.6699356479444,34.6699356479444,37.1781491975142,37.1781491975142,39.35900364519993,39.35900364519993
34,5.583527308772318e-05,5.583527308772318e-05,1.797187542251777e-05,1.797187542251777e-05,1.2331473044469021e-05,1.2331473044469021e-05,7.825588909327053e-06,7.825588909327053e-06,38.121043866118285,38.121043866118285,43.05081475137804,43.05081475137804,44.68470690120331,44.68470690120331,46.71275060166542,46.71275060166542
35,0.00029299224843271077,0.00029299224843271077,0.00010989046131726354,0.00010989046131726354,6.328475865302607e-05,6.328475865302607e-05,3.5228276829002425e-05,3.5228276829002425e-05,31.015049020256022,31.015049020256022,35.355290844185326,35.355290844185326,37.629636479004276,37.629636479004276,40.128803966915214,40.128803966915214
36,6.278832006501034e-05,6.278832006501034e-05,2.6591365895001218e-05,2.6591365895001218e-05,1.5260131476679817e-05,1.5260131476679817e-05,1.1008602996298578e-05,1.1008602996298578e-05,37.607179039471156,37.607179039471156,41.340313946290976,41.340313946290976,43.75441577017105,43.75441577017105,45.21191516281148,45.21191516281148
37,4.25256132530194e-08,4.25256132530194e-08,4.3695642659713485e-08,4.3695642659713485e-08,1.1070519434497328e-07,1.1070519434497328e-07,2.4058127223725023e-07,2.4058127223725023e-07,71.88056114795222,71.88056114795222,71.5311343470616,71.5311343470616,66.14996412491183,66.14996412491183,63.61127629205555,63.61127629205555
38,0.000215748164919205,0.000215748164919205,8.422360406257212e-05,8.422360406257212e-05,4.7536603233311325e-05,4.7536603233311325e-05,2.9211882065283135e-05,2.9211882065283135e-05,33.19603647343635,33.19603647343635,37.02583421613349,37.02583421613349,39.04261531333178,39.04261531333178,41.458945423527176,41.458945423527176
39,4.3703541450668126e-05,4.3703541450668126e-05,1.763391810527537e-05,1.763391810527537e-05,9.913062967825681e-06,9.913062967825681e-06,6.1970827118784655e-06,6.1970827118784655e-06,39.20311001276975,39.20311001276975,43.14476007161372,43.14476007161372,45.6541446816986,45.6541446816986,47.75197388276398,47.75197388276398
40,0.0002991588553413749,0.0002991588553413749,0.00014494314382318407,0.00014494314382318407,9.586182568455115e-05,9.586182568455115e-05,5.298119504004717e-05,5.298119504004717e-05,31.338821650124675,31.338821650124675,34.71981001417966,34.71981001417966,36.20626654276084,36.20626654276084,38.56571276799055,38.56571276799055
41,4.748421997646801e-05,4.748421997646801e-05,1.628301470191218e-05,1.628301470191218e-05,1.143350345955696e-05,1.143350345955696e-05,7.473559435311472e-06,7.473559435311472e-06,38.836522559446934,38.836522559446934,43.50052107366368,43.50052107366368,45.02264063537396,45.02264063537396,46.92818766337025,46.92818766337025
