slice_idx,mse_unclipped_D10,mse_unclipped_D20,mse_unclipped_D4,mse_unclipped_D50,mse_unclipped_NORMAL,mse_unclipped_raw_D10,mse_unclipped_raw_D20,mse_unclipped_raw_D4,mse_unclipped_raw_D50,mse_unclipped_raw_NORMAL,psnr_clip3_D10,psnr_clip3_D20,psnr_clip3_D4,psnr_clip3_D50,psnr_clip3_NORMAL,psnr_clip3_raw_D10,psnr_clip3_raw_D20,psnr_clip3_raw_D4,psnr_clip3_raw_D50,psnr_clip3_raw_NORMAL,psnr_highgrad_D10,psnr_highgrad_D20,psnr_highgrad_D4,psnr_highgrad_D50,psnr_highgrad_NORMAL,psnr_highgrad_raw_D10,psnr_highgrad_raw_D20,psnr_highgrad_raw_D4,psnr_highgrad_raw_D50,psnr_highgrad_raw_NORMAL,psnr_top10suv_D10,psnr_top10suv_D20,psnr_top10suv_D4,psnr_top10suv_D50,psnr_top10suv_NORMAL,psnr_top10suv_raw_D10,psnr_top10suv_raw_D20,psnr_top10suv_raw_D4,psnr_top10suv_raw_D50,psnr_top10suv_raw_NORMAL,psnr_top1suv_D10,psnr_top1suv_D20,psnr_top1suv_D4,psnr_top1suv_D50,psnr_top1suv_NORMAL,psnr_top1suv_raw_D10,psnr_top1suv_raw_D20,psnr_top1suv_raw_D4,psnr_top1suv_raw_D50,psnr_top1suv_raw_NORMAL,psnr_top5suv_D10,psnr_top5suv_D20,psnr_top5suv_D4,psnr_top5suv_D50,psnr_top5suv_NORMAL,psnr_top5suv_raw_D10,psnr_top5suv_raw_D20,psnr_top5suv_raw_D4,psnr_top5suv_raw_D50,psnr_top5suv_raw_NORMAL,psnr_unclipped_D10,psnr_unclipped_D20,psnr_unclipped_D4,psnr_unclipped_D50,psnr_unclipped_NORMAL,psnr_unclipped_raw_D10,psnr_unclipped_raw_D20,psnr_unclipped_raw_D4,psnr_unclipped_raw_D50,psnr_unclipped_raw_NORMAL,suvmax_err_D10,suvmax_err_D20,suvmax_err_D4,suvmax_err_D50,suvmax_err_NORMAL,suvmax_err_raw_D10,suvmax_err_raw_D20,suvmax_err_raw_D4,suvmax_err_raw_D50,suvmax_err_raw_NORMAL,suvmean_err_gt_gt0p5_D10,suvmean_err_gt_gt0p5_D20,suvmean_err_gt_gt0p5_D4,suvmean_err_gt_gt0p5_D50,suvmean_err_gt_gt0p5_NORMAL,suvmean_err_gt_gt0p5_raw_D10,suvmean_err_gt_gt0p5_raw_D20,suvmean_err_gt_gt0p5_raw_D4,suvmean_err_gt_gt0p5_raw_D50,suvmean_err_gt_gt0p5_raw_NORMAL,suvmean_err_top10suv_D10,suvmean_err_top10suv_D20,suvmean_err_top10suv_D4,suvmean_err_top10suv_D50,suvmean_err_top10suv_NORMAL,suvmean_err_top10suv_raw_D10,suvmean_err_top10suv_raw_D20,suvmean_err_top10suv_raw_D4,suvmean_err_top10suv_raw_D50,suvmean_err_top10suv_raw_NORMAL,suvmean_err_top1suv_D10,suvmean_err_top1suv_D20,suvmean_err_top1suv_D4,suvmean_err_top1suv_D50,suvmean_err_top1suv_NORMAL,suvmean_err_top1suv_raw_D10,suvmean_err_top1suv_raw_D20,suvmean_err_top1suv_raw_D4,suvmean_err_top1suv_raw_D50,suvmean_err_top1suv_raw_NORMAL,suvmean_err_top5suv_D10,suvmean_err_top5suv_D20,suvmean_err_top5suv_D4,suvmean_err_top5suv_D50,suvmean_err_top5suv_NORMAL,suvmean_err_top5suv_raw_D10,suvmean_err_top5suv_raw_D20,suvmean_err_top5suv_raw_D4,suvmean_err_top5suv_raw_D50,suvmean_err_top5suv_raw_NORMAL
0,0.0009818081744015217,0.0012623200891539454,0.0008849781006574631,0.0002045414294116199,0.0007776675629429519,0.0009818081744015217,0.0012623200891539454,0.0008849781006574631,0.0002045414294116199,0.0007776675629429519,39.64748764038086,38.54941177368164,40.10416793823242,46.567955017089844,40.67294692993164,39.64748764038086,38.54941177368164,40.10416793823242,46.567955017089844,40.67294692993164,24.84653091430664,25.638614654541016,24.754905700683594,34.47208023071289,24.812971115112305,24.84653091430664,25.638614654541016,24.754905700683594,34.47208023071289,24.812971115112305,24.84770393371582,25.64274024963379,24.753929138183594,34.49929428100586,25.241130828857422,24.84770393371582,25.64274024963379,24.753929138183594,34.49929428100586,25.241130828857422,18.96697998046875,18.354106903076172,19.01089859008789,28.31060028076172,20.052417755126953,18.96697998046875,18.354106903076172,19.01089859008789,28.31060028076172,20.052417755126953,21.890296936035156,22.67017936706543,21.82030487060547,31.657804489135742,21.810136795043945,21.890296936035156,22.67017936706543,21.82030487060547,31.657804489135742,21.810136795043945,34.819580078125,35.62120056152344,34.7347297668457,44.408729553222656,34.72179412841797,34.819580078125,35.62120056152344,34.7347297668457,44.408729553222656,34.72179412841797,-0.3782236576080322,-0.6610465049743652,-0.31872010231018066,-0.1356816291809082,-0.22993767261505127,-0.3782236576080322,-0.6610465049743652,-0.31872010231018066,-0.1356816291809082,-0.22993767261505127,-0.07713258266448975,-0.11716938018798828,-0.053543031215667725,-0.013078689575195312,-0.040507614612579346,-0.07713258266448975,-0.11716938018798828,-0.053543031215667725,-0.013078689575195312,-0.040507614612579346,-0.0002841949462890625,-0.009457066655158997,0.0032545924186706543,-0.0022900551557540894,0.0038926303386688232,-0.0002841949462890625,-0.009457066655158997,0.0032545924186706543,-0.0022900551557540894,0.0038926303386688232,-0.11326730251312256,-0.17486566305160522,-0.08438163995742798,-0.01830059289932251,-0.06239265203475952,-0.11326730251312256,-0.17486566305160522,-0.08438163995742798,-0.01830059289932251,-0.06239265203475952,-0.0012420713901519775,-0.01850038766860962,0.004948288202285767,-0.002528071403503418,0.00800272822380066,-0.0012420713901519775,-0.01850038766860962,0.004948288202285767,-0.002528071403503418,0.00800272822380066
1,0.006570381578058004,0.008006005547940731,0.006079621147364378,0.001407885691151023,0.005282588768750429,0.006570381578058004,0.008006005547940731,0.006079621147364378,0.001407885691151023,0.005282588768750429,31.390655517578125,30.585966110229492,31.718841552734375,38.61450958251953,32.33441925048828,31.390655517578125,30.585966110229492,31.718841552734375,38.61450958251953,32.33441925048828,23.249530792236328,22.97972297668457,22.317039489746094,36.72145462036133,22.922277450561523,23.249530792236328,22.97972297668457,22.317039489746094,36.72145462036133,22.922277450561523,22.840707778930664,22.651390075683594,21.995513916015625,36.47517395019531,22.57079315185547,22.840707778930664,22.651390075683594,21.995513916015625,36.47517395019531,22.57079315185547,17.838993072509766,16.995710372924805,17.34265899658203,30.75791358947754,17.592018127441406,17.838993072509766,16.995710372924805,17.34265899658203,30.75791358947754,17.592018127441406,20.843002319335938,20.4759521484375,19.989925384521484,34.33401107788086,20.55994987487793,20.843002319335938,20.4759521484375,19.989925384521484,34.33401107788086,20.55994987487793,32.05634307861328,32.06112289428711,31.225688934326172,45.92734146118164,31.77686309814453,32.05634307861328,32.06112289428711,31.225688934326172,45.92734146118164,31.77686309814453,-0.1366901397705078,-0.0016431808471679688,-0.06692314147949219,-0.9472842216491699,-0.0801246166229248,-0.1366901397705078,-0.0016431808471679688,-0.06692314147949219,-0.9472842216491699,-0.0801246166229248,-0.04751121997833252,-0.07404959201812744,-0.05756157636642456,-0.006179094314575195,-0.052331626415252686,-0.04751121997833252,-0.07404959201812744,-0.05756157636642456,-0.006179094314575195,-0.052331626415252686,-0.028794527053833008,-0.05130857229232788,-0.03628969192504883,-0.003584742546081543,-0.034556448459625244,-0.028794527053833008,-0.05130857229232788,-0.03628969192504883,-0.003584742546081543,-0.034556448459625244,-0.2221529483795166,-0.29580259323120117,-0.20943081378936768,-0.05320239067077637,-0.1666731834411621,-0.2221529483795166,-0.29580259323120117,-0.20943081378936768,-0.05320239067077637,-0.1666731834411621,-0.06022536754608154,-0.09679126739501953,-0.07155930995941162,-0.007074832916259766,-0.0618433952331543,-0.06022536754608154,-0.09679126739501953,-0.07155930995941162,-0.007074832916259766,-0.0618433952331543
2,0.0073426831513643265,0.009700989350676537,0.006111542694270611,0.0014365885872393847,0.005571223329752684,0.0073426831513643265,0.009700989350676537,0.006111542694270611,0.0014365885872393847,0.005571223329752684,30.90068817138672,29.77289581298828,31.6915225982666,38.4456901550293,32.09694290161133,30.90068817138672,29.77289581298828,31.6915225982666,38.4456901550293,32.09694290161133,22.62216567993164,23.41053009033203,21.127866744995117,34.02881622314453,21.152231216430664,22.62216567993164,23.41053009033203,21.127866744995117,34.02881622314453,21.152231216430664,22.404441833496094,23.132822036743164,20.952411651611328,33.96216583251953,20.758411407470703,22.404441833496094,23.132822036743164,20.952411651611328,33.96216583251953,20.758411407470703,17.365615844726562,17.314023971557617,16.337265014648438,28.324195861816406,16.239025115966797,17.365615844726562,17.314023971557617,16.337265014648438,28.324195861816406,16.239025115966797,20.435022354125977,21.086294174194336,18.92782974243164,32.0675048828125,18.69532585144043,20.435022354125977,21.086294174194336,18.92782974243164,32.0675048828125,18.69532585144043,31.786897659301758,32.69439697265625,30.23488998413086,43.45887756347656,30.15207862854004,31.786897659301758,32.69439697265625,30.23488998413086,43.45887756347656,30.15207862854004,-1.0785822868347168,-1.5413122177124023,-0.5577507019042969,-0.842221736907959,-0.474570631980896,-1.0785822868347168,-1.5413122177124023,-0.5577507019042969,-0.842221736907959,-0.474570631980896,-0.08242517709732056,-0.12477856874465942,-0.0712851881980896,-0.008040189743041992,-0.06956279277801514,-0.08242517709732056,-0.12477856874465942,-0.0712851881980896,-0.008040189743041992,-0.06956279277801514,-0.049177587032318115,-0.07896912097930908,-0.045181095600128174,-0.0022523999214172363,-0.04628175497055054,-0.049177587032318115,-0.07896912097930908,-0.045181095600128174,-0.0022523999214172363,-0.04628175497055054,-0.29299771785736084,-0.3950481414794922,-0.26553308963775635,-0.05070185661315918,-0.24479758739471436,-0.29299771785736084,-0.3950481414794922,-0.26553308963775635,-0.05070185661315918,-0.24479758739471436,-0.1324383020401001,-0.18854159116744995,-0.11085659265518188,-0.011583566665649414,-0.1039237380027771,-0.1324383020401001,-0.18854159116744995,-0.11085659265518188,-0.011583566665649414,-0.1039237380027771
3,0.004404115490615368,0.005706949159502983,0.00362149509601295,0.0009010765934363008,0.003018291899934411,0.004404115490615368,0.005706949159502983,0.00362149509601295,0.0009010765934363008,0.003018291899934411,33.11339569091797,31.985807418823242,33.96554183959961,40.08430480957031,34.760292053222656,33.11339569091797,31.985807418823242,33.96554183959961,40.08430480957031,34.760292053222656,21.315706253051758,20.650089263916016,21.480493545532227,31.44567108154297,21.867650985717773,21.315706253051758,20.650089263916016,21.480493545532227,31.44567108154297,21.867650985717773,21.24386978149414,20.523202896118164,21.336374282836914,31.37472152709961,21.575456619262695,21.24386978149414,20.523202896118164,21.336374282836914,31.37472152709961,21.575456619262695,15.107460021972656,14.108614921569824,15.329147338867188,26.304927825927734,16.091489791870117,15.107460021972656,14.108614921569824,15.329147338867188,26.304927825927734,16.091489791870117,19.101856231689453,18.35454559326172,19.29724884033203,29.63277244567871,19.621854782104492,19.101856231689453,18.35454559326172,19.29724884033203,29.63277244567871,19.621854782104492,30.49915313720703,29.99275779724121,30.60557746887207,40.738121032714844,30.87506866455078,30.49915313720703,29.99275779724121,30.60557746887207,40.738121032714844,30.87506866455078,-0.46361494064331055,-0.5106170177459717,-0.3465306758880615,-0.45618200302124023,-0.2537914514541626,-0.46361494064331055,-0.5106170177459717,-0.3465306758880615,-0.45618200302124023,-0.2537914514541626,-0.12469077110290527,-0.14715909957885742,-0.11231052875518799,-0.009867429733276367,-0.10172909498214722,-0.12469077110290527,-0.14715909957885742,-0.11231052875518799,-0.009867429733276367,-0.10172909498214722,-0.06284922361373901,-0.06697875261306763,-0.0582960844039917,-0.0018540620803833008,-0.0577889084815979,-0.06284922361373901,-0.06697875261306763,-0.0582960844039917,-0.0018540620803833008,-0.0577889084815979,-0.2878740429878235,-0.35396987199783325,-0.25618016719818115,-0.06182575225830078,-0.20939403772354126,-0.2878740429878235,-0.35396987199783325,-0.25618016719818115,-0.06182575225830078,-0.20939403772354126,-0.13661926984786987,-0.15708816051483154,-0.12170708179473877,-0.009633243083953857,-0.11093604564666748,-0.13661926984786987,-0.15708816051483154,-0.12170708179473877,-0.009633243083953857,-0.11093604564666748
4,0.007785535417497158,0.008642752654850483,0.006222904659807682,0.0016269402112811804,0.005317299626767635,0.007785535417497158,0.008642752654850483,0.006222904659807682,0.0016269402112811804,0.005317299626767635,30.825090408325195,30.22980499267578,31.622514724731445,38.06937026977539,32.314353942871094,30.825090408325195,30.22980499267578,31.622514724731445,38.06937026977539,32.314353942871094,24.72506332397461,23.43536376953125,23.237075805664062,33.658042907714844,24.059558868408203,24.72506332397461,23.43536376953125,23.237075805664062,33.658042907714844,24.059558868408203,24.41634750366211,23.11172866821289,22.891443252563477,33.50684356689453,23.68037986755371,24.41634750366211,23.11172866821289,22.891443252563477,33.50684356689453,23.68037986755371,18.13636589050293,17.321613311767578,17.325942993164062,27.64655113220215,18.200855255126953,18.13636589050293,17.321613311767578,17.325942993164062,27.64655113220215,18.200855255126953,22.240337371826172,20.975086212158203,20.788450241088867,31.541658401489258,21.693721771240234,22.240337371826172,20.975086212158203,20.788450241088867,31.541658401489258,21.693721771240234,33.67670440673828,32.5471076965332,32.0307731628418,42.84778594970703,32.76076126098633,33.67670440673828,32.5471076965332,32.0307731628418,42.84778594970703,32.76076126098633,-2.019404888153076,-1.3460605144500732,-1.0765349864959717,-0.41367149353027344,-1.101302146911621,-2.019404888153076,-1.3460605144500732,-1.0765349864959717,-0.41367149353027344,-1.101302146911621,-0.08480942249298096,-0.09896588325500488,-0.08178788423538208,-0.011889100074768066,-0.06737685203552246,-0.08480942249298096,-0.09896588325500488,-0.08178788423538208,-0.011889100074768066,-0.06737685203552246,-0.05762302875518799,-0.06715583801269531,-0.05557668209075928,-0.007387876510620117,-0.045231401920318604,-0.05762302875518799,-0.06715583801269531,-0.05557668209075928,-0.007387876510620117,-0.045231401920318604,-0.3715951442718506,-0.3684326410293579,-0.2905470132827759,-0.06924796104431152,-0.22025704383850098,-0.3715951442718506,-0.3684326410293579,-0.2905470132827759,-0.06924796104431152,-0.22025704383850098,-0.11791396141052246,-0.1374495029449463,-0.11288690567016602,-0.017011404037475586,-0.09228968620300293,-0.11791396141052246,-0.1374495029449463,-0.11288690567016602,-0.017011404037475586,-0.09228968620300293
5,0.005311195272952318,0.005914873909205198,0.0041509889997541904,0.0009675853070802987,0.0035150116309523582,0.005311195272952318,0.005914873909205198,0.0041509889997541904,0.0009675853070802987,0.0035150116309523582,32.29619216918945,31.831789016723633,33.36867141723633,39.918609619140625,34.09413146972656,32.29619216918945,31.831789016723633,33.36867141723633,39.918609619140625,34.09413146972656,23.117963790893555,22.767690658569336,22.83453369140625,33.73680877685547,21.85954475402832,23.117963790893555,22.767690658569336,22.83453369140625,33.73680877685547,21.85954475402832,22.92021942138672,22.65140151977539,22.55376625061035,33.651649475097656,21.547592163085938,22.92021942138672,22.65140151977539,22.55376625061035,33.651649475097656,21.547592163085938,16.83550453186035,16.541187286376953,17.07164192199707,28.349517822265625,17.018672943115234,16.83550453186035,16.541187286376953,17.07164192199707,28.349517822265625,17.018672943115234,20.988508224487305,20.64795684814453,20.78138542175293,31.819265365600586,19.749351501464844,20.988508224487305,20.64795684814453,20.78138542175293,31.819265365600586,19.749351501464844,32.22515869140625,32.042198181152344,31.7292423248291,43.05274200439453,30.671354293823242,32.22515869140625,32.042198181152344,31.7292423248291,43.05274200439453,30.671354293823242,-1.3592748641967773,-1.3109842538833618,-0.9367692470550537,-0.7555184364318848,-0.5182901620864868,-1.3592748641967773,-1.3109842538833618,-0.9367692470550537,-0.7555184364318848,-0.5182901620864868,-0.11870849132537842,-0.1335659623146057,-0.0908474326133728,-0.012003839015960693,-0.0728577971458435,-0.11870849132537842,-0.1335659623146057,-0.0908474326133728,-0.012003839015960693,-0.0728577971458435,-0.061959683895111084,-0.061122000217437744,-0.04963397979736328,-0.0026918649673461914,-0.044645845890045166,-0.061959683895111084,-0.061122000217437744,-0.04963397979736328,-0.0026918649673461914,-0.044645845890045166,-0.30902546644210815,-0.3369024991989136,-0.23658937215805054,-0.06431698799133301,-0.19698286056518555,-0.30902546644210815,-0.3369024991989136,-0.23658937215805054,-0.06431698799133301,-0.19698286056518555,-0.13688021898269653,-0.14631688594818115,-0.10663127899169922,-0.011655211448669434,-0.08393144607543945,-0.13688021898269653,-0.14631688594818115,-0.10663127899169922,-0.011655211448669434,-0.08393144607543945
6,0.011199800297617912,0.013219336047768593,0.011284571141004562,0.0032625531312078238,0.010716160759329796,0.011199800297617912,0.013219336047768593,0.011284571141004562,0.0032625531312078238,0.010716160759329796,30.792865753173828,30.64927101135254,30.900741577148438,36.740562438964844,30.971254348754883,30.792865753173828,30.64927101135254,30.900741577148438,36.740562438964844,30.971254348754883,26.253244400024414,27.614194869995117,25.374849319458008,34.57506561279297,25.693647384643555,26.253244400024414,27.614194869995117,25.374849319458008,34.57506561279297,25.693647384643555,26.118053436279297,27.531208038330078,25.222198486328125,34.48640441894531,25.559356689453125,26.118053436279297,27.531208038330078,25.222198486328125,34.48640441894531,25.559356689453125,19.782339096069336,20.457317352294922,18.87119483947754,27.887290954589844,19.423110961914062,19.782339096069336,20.457317352294922,18.87119483947754,27.887290954589844,19.423110961914062,24.076753616333008,25.27638053894043,23.162097930908203,32.4809684753418,23.555341720581055,24.076753616333008,25.27638053894043,23.162097930908203,32.4809684753418,23.555341720581055,36.03565216064453,37.47273254394531,35.14342498779297,44.281761169433594,35.47386932373047,36.03565216064453,37.47273254394531,35.14342498779297,44.281761169433594,35.47386932373047,0.06252479553222656,-1.55877685546875,0.6384735107421875,-0.4942026138305664,0.5688824653625488,0.06252479553222656,-1.55877685546875,0.6384735107421875,-0.4942026138305664,0.5688824653625488,-0.015722036361694336,-0.054036736488342285,-0.004878401756286621,-0.016549348831176758,-0.013707160949707031,-0.015722036361694336,-0.054036736488342285,-0.004878401756286621,-0.016549348831176758,-0.013707160949707031,0.0031964778900146484,-0.02048647403717041,0.005606174468994141,-0.016402363777160645,-0.004083156585693359,0.0031964778900146484,-0.02048647403717041,0.005606174468994141,-0.016402363777160645,-0.004083156585693359,-0.2507197856903076,-0.3341696262359619,-0.20386314392089844,-0.0363154411315918,-0.2385239601135254,-0.2507197856903076,-0.3341696262359619,-0.20386314392089844,-0.0363154411315918,-0.2385239601135254,-0.04657280445098877,-0.09004580974578857,-0.03158974647521973,-0.0167539119720459,-0.044297218322753906,-0.04657280445098877,-0.09004580974578857,-0.03158974647521973,-0.0167539119720459,-0.044297218322753906
7,0.001405604649335146,0.0018645981326699257,0.0012533977860584855,0.0006812128121964633,0.0012380123371258378,0.001405604649335146,0.0018645981326699257,0.0012533977860584855,0.0006812128121964633,0.0012380123371258378,38.1050910949707,36.86555099487305,38.612247467041016,42.29664993286133,38.67771911621094,38.1050910949707,36.86555099487305,38.612247467041016,42.29664993286133,38.67771911621094,22.85788345336914,24.496078491210938,21.808143615722656,36.56490707397461,20.441287994384766,22.85788345336914,24.496078491210938,21.808143615722656,36.56490707397461,20.441287994384766,23.034324645996094,25.980304718017578,21.834741592407227,37.24531555175781,20.48923110961914,23.034324645996094,25.980304718017578,21.834741592407227,37.24531555175781,20.48923110961914,16.046926498413086,16.752010345458984,15.389093399047852,28.05017852783203,14.309417724609375,16.046926498413086,16.752010345458984,15.389093399047852,28.05017852783203,14.309417724609375,19.950279235839844,21.471511840820312,18.89226722717285,33.221923828125,17.489856719970703,19.950279235839844,21.471511840820312,18.89226722717285,33.221923828125,17.489856719970703,32.835941314697266,34.42023849487305,31.765663146972656,46.03107452392578,30.42142677307129,32.835941314697266,34.42023849487305,31.765663146972656,46.03107452392578,30.42142677307129,-0.4119603633880615,-0.8592263460159302,-0.2157580852508545,-1.4293220043182373,-0.04628729820251465,-0.4119603633880615,-0.8592263460159302,-0.2157580852508545,-1.4293220043182373,-0.04628729820251465,-0.1621822714805603,-0.23555374145507812,-0.12901538610458374,-0.04267227649688721,-0.11379581689834595,-0.1621822714805603,-0.23555374145507812,-0.12901538610458374,-0.04267227649688721,-0.11379581689834595,0.0020574331283569336,-0.0032997578382492065,0.00698167085647583,0.0004490315914154053,0.006457045674324036,0.0020574331283569336,-0.0032997578382492065,0.00698167085647583,0.0004490315914154053,0.006457045674324036,-0.14444243907928467,-0.2235507369041443,-0.11206936836242676,-0.04085904359817505,-0.08866792917251587,-0.14444243907928467,-0.2235507369041443,-0.11206936836242676,-0.04085904359817505,-0.08866792917251587,0.0011815428733825684,-0.011743426322937012,0.012034088373184204,0.00033912062644958496,0.011802911758422852,0.0011815428733825684,-0.011743426322937012,0.012034088373184204,0.00033912062644958496,0.011802911758422852
8,0.005518929101526737,0.0063842227682471275,0.004647018853574991,0.0011640158481895924,0.004162221681326628,0.005518929101526737,0.0063842227682471275,0.004647018853574991,0.0011640158481895924,0.004162221681326628,32.133872985839844,31.499805450439453,32.88382339477539,39.212059020996094,33.36664962768555,32.133872985839844,31.499805450439453,32.88382339477539,39.212059020996094,33.36664962768555,20.885669708251953,22.254220962524414,21.190563201904297,35.96723937988281,19.95812225341797,20.885669708251953,22.254220962524414,21.190563201904297,35.96723937988281,19.95812225341797,20.417057037353516,21.792205810546875,20.550317764282227,35.85588073730469,19.128257751464844,20.417057037353516,21.792205810546875,20.550317764282227,35.85588073730469,19.128257751464844,14.696569442749023,15.797626495361328,15.84874439239502,30.241056442260742,14.726703643798828,14.696569442749023,15.797626495361328,15.84874439239502,30.241056442260742,14.726703643798828,18.535808563232422,19.81658172607422,18.81781005859375,34.16461944580078,17.624897003173828,18.535808563232422,19.81658172607422,18.81781005859375,34.16461944580078,17.624897003173828,29.396556854248047,30.912181854248047,29.350236892700195,44.8773307800293,27.954805374145508,29.396556854248047,30.912181854248047,29.350236892700195,44.8773307800293,27.954805374145508,-0.22537124156951904,-0.43706512451171875,-0.27274537086486816,-0.7032456398010254,0.07483804225921631,-0.22537124156951904,-0.43706512451171875,-0.27274537086486816,-0.7032456398010254,0.07483804225921631,-0.10115891695022583,-0.11727100610733032,-0.08264178037643433,-0.007099926471710205,-0.0644271969795227,-0.10115891695022583,-0.11727100610733032,-0.08264178037643433,-0.007099926471710205,-0.0644271969795227,-0.07513666152954102,-0.08309751749038696,-0.06243085861206055,-0.0016086697578430176,-0.053351759910583496,-0.07513666152954102,-0.08309751749038696,-0.06243085861206055,-0.0016086697578430176,-0.053351759910583496,-0.2856507897377014,-0.3525356650352478,-0.2237148880958557,-0.05611145496368408,-0.18729859590530396,-0.2856507897377014,-0.3525356650352478,-0.2237148880958557,-0.05611145496368408,-0.18729859590530396,-0.1358889937400818,-0.15925073623657227,-0.11150318384170532,-0.012106537818908691,-0.0899648666381836,-0.1358889937400818,-0.15925073623657227,-0.11150318384170532,-0.012106537818908691,-0.0899648666381836
9,0.005393435247242451,0.009449012577533722,0.0034144611563533545,0.005002099089324474,0.0022833500988781452,0.005393435247242451,0.009449012577533722,0.0034144611563533545,0.005002099089324474,0.0022833500988781452,32.25547409057617,30.13231658935547,34.24944305419922,37.29553985595703,36.01585388183594,32.25547409057617,30.13231658935547,34.24944305419922,37.29553985595703,36.01585388183594,22.298473358154297,24.318286895751953,20.563865661621094,33.981109619140625,17.646968841552734,22.298473358154297,24.318286895751953,20.563865661621094,33.981109619140625,17.646968841552734,22.896045684814453,24.968286514282227,22.204275131225586,34.4000358581543,17.798635482788086,22.896045684814453,24.968286514282227,22.204275131225586,34.4000358581543,17.798635482788086,13.121720314025879,14.721723556518555,12.739298820495605,24.63275718688965,11.02054500579834,13.121720314025879,14.721723556518555,12.739298820495605,24.63275718688965,11.02054500579834,18.66379165649414,20.954099655151367,17.72429656982422,32.06318283081055,14.916927337646484,18.66379165649414,20.954099655151367,17.72429656982422,32.06318283081055,14.916927337646484,31.560970306396484,33.84980773925781,30.5096435546875,43.49188995361328,27.596879959106445,31.560970306396484,33.84980773925781,30.5096435546875,43.49188995361328,27.596879959106445,-1.0892579555511475,-2.7353482246398926,-0.5062180757522583,-3.143784523010254,0.23964142799377441,-1.0892579555511475,-2.7353482246398926,-0.5062180757522583,-3.143784523010254,0.23964142799377441,-0.47491639852523804,-0.6500943899154663,-0.32845771312713623,-0.18795251846313477,-0.2288665473461151,-0.47491639852523804,-0.6500943899154663,-0.32845771312713623,-0.18795251846313477,-0.2288665473461151,-0.00645563006401062,-0.028566449880599976,-0.009102456271648407,-0.0038920938968658447,-0.010920360684394836,-0.00645563006401062,-0.028566449880599976,-0.009102456271648407,-0.0038920938968658447,-0.010920360684394836,-0.42386817932128906,-0.5847916603088379,-0.34276509284973145,-0.09538722038269043,-0.23503845930099487,-0.42386817932128906,-0.5847916603088379,-0.34276509284973145,-0.09538722038269043,-0.23503845930099487,-0.02196618914604187,-0.07273192703723907,-0.03680640459060669,-0.006771638989448547,-0.038389384746551514,-0.02196618914604187,-0.07273192703723907,-0.03680640459060669,-0.006771638989448547,-0.038389384746551514
