slice_idx,mse_unclipped_D10,mse_unclipped_D20,mse_unclipped_D4,mse_unclipped_D50,mse_unclipped_NORMAL,mse_unclipped_raw_D10,mse_unclipped_raw_D20,mse_unclipped_raw_D4,mse_unclipped_raw_D50,mse_unclipped_raw_NORMAL,psnr_clip3_D10,psnr_clip3_D20,psnr_clip3_D4,psnr_clip3_D50,psnr_clip3_NORMAL,psnr_clip3_raw_D10,psnr_clip3_raw_D20,psnr_clip3_raw_D4,psnr_clip3_raw_D50,psnr_clip3_raw_NORMAL,psnr_highgrad_D10,psnr_highgrad_D20,psnr_highgrad_D4,psnr_highgrad_D50,psnr_highgrad_NORMAL,psnr_highgrad_raw_D10,psnr_highgrad_raw_D20,psnr_highgrad_raw_D4,psnr_highgrad_raw_D50,psnr_highgrad_raw_NORMAL,psnr_top10suv_D10,psnr_top10suv_D20,psnr_top10suv_D4,psnr_top10suv_D50,psnr_top10suv_NORMAL,psnr_top10suv_raw_D10,psnr_top10suv_raw_D20,psnr_top10suv_raw_D4,psnr_top10suv_raw_D50,psnr_top10suv_raw_NORMAL,psnr_top1suv_D10,psnr_top1suv_D20,psnr_top1suv_D4,psnr_top1suv_D50,psnr_top1suv_NORMAL,psnr_top1suv_raw_D10,psnr_top1suv_raw_D20,psnr_top1suv_raw_D4,psnr_top1suv_raw_D50,psnr_top1suv_raw_NORMAL,psnr_top5suv_D10,psnr_top5suv_D20,psnr_top5suv_D4,psnr_top5suv_D50,psnr_top5suv_NORMAL,psnr_top5suv_raw_D10,psnr_top5suv_raw_D20,psnr_top5suv_raw_D4,psnr_top5suv_raw_D50,psnr_top5suv_raw_NORMAL,psnr_unclipped_D10,psnr_unclipped_D20,psnr_unclipped_D4,psnr_unclipped_D50,psnr_unclipped_NORMAL,psnr_unclipped_raw_D10,psnr_unclipped_raw_D20,psnr_unclipped_raw_D4,psnr_unclipped_raw_D50,psnr_unclipped_raw_NORMAL,suvmax_err_D10,suvmax_err_D20,suvmax_err_D4,suvmax_err_D50,suvmax_err_NORMAL,suvmax_err_raw_D10,suvmax_err_raw_D20,suvmax_err_raw_D4,suvmax_err_raw_D50,suvmax_err_raw_NORMAL,suvmean_err_gt_gt0p5_D10,suvmean_err_gt_gt0p5_D20,suvmean_err_gt_gt0p5_D4,suvmean_err_gt_gt0p5_D50,suvmean_err_gt_gt0p5_NORMAL,suvmean_err_gt_gt0p5_raw_D10,suvmean_err_gt_gt0p5_raw_D20,suvmean_err_gt_gt0p5_raw_D4,suvmean_err_gt_gt0p5_raw_D50,suvmean_err_gt_gt0p5_raw_NORMAL,suvmean_err_top10suv_D10,suvmean_err_top10suv_D20,suvmean_err_top10suv_D4,suvmean_err_top10suv_D50,suvmean_err_top10suv_NORMAL,suvmean_err_top10suv_raw_D10,suvmean_err_top10suv_raw_D20,suvmean_err_top10suv_raw_D4,suvmean_err_top10suv_raw_D50,suvmean_err_top10suv_raw_NORMAL,suvmean_err_top1suv_D10,suvmean_err_top1suv_D20,suvmean_err_top1suv_D4,suvmean_err_top1suv_D50,suvmean_err_top1suv_NORMAL,suvmean_err_top1suv_raw_D10,suvmean_err_top1suv_raw_D20,suvmean_err_top1suv_raw_D4,suvmean_err_top1suv_raw_D50,suvmean_err_top1suv_raw_NORMAL,suvmean_err_top5suv_D10,suvmean_err_top5suv_D20,suvmean_err_top5suv_D4,suvmean_err_top5suv_D50,suvmean_err_top5suv_NORMAL,suvmean_err_top5suv_raw_D10,suvmean_err_top5suv_raw_D20,suvmean_err_top5suv_raw_D4,suvmean_err_top5suv_raw_D50,suvmean_err_top5suv_raw_NORMAL
0,0.0010711564682424068,0.0013153522741049528,0.0009625622187741101,0.0002045414294116199,0.0008856361964717507,0.0010711564682424068,0.0013153522741049528,0.0009625622187741101,0.0002045414294116199,0.0008856361964717507,39.291316986083984,38.38709259033203,39.76264572143555,46.567955017089844,40.136199951171875,39.291316986083984,38.38709259033203,39.76264572143555,46.567955017089844,40.136199951171875,24.49240493774414,25.483963012695312,24.410476684570312,34.47208023071289,24.253280639648438,24.49240493774414,25.483963012695312,24.410476684570312,34.47208023071289,24.253280639648438,24.494361877441406,25.494083404541016,24.412052154541016,34.49929428100586,24.689741134643555,24.494361877441406,25.494083404541016,24.412052154541016,34.49929428100586,24.689741134643555,18.446449279785156,18.408615112304688,18.42905044555664,28.31060028076172,19.19860076904297,18.446449279785156,18.408615112304688,18.42905044555664,28.31060028076172,19.19860076904297,21.57832145690918,22.54450225830078,21.523189544677734,31.657804489135742,21.300769805908203,21.57832145690918,22.54450225830078,21.523189544677734,31.657804489135742,21.300769805908203,34.44131851196289,35.44247817993164,34.36976623535156,44.408729553222656,34.15717697143555,34.44131851196289,35.44247817993164,34.36976623535156,44.408729553222656,34.15717697143555,-0.3645670413970947,-0.66153883934021,-0.29034173488616943,-0.1356816291809082,-0.18146812915802002,-0.3645670413970947,-0.66153883934021,-0.29034173488616943,-0.1356816291809082,-0.18146812915802002,-0.09051322937011719,-0.11287349462509155,-0.0645761489868164,-0.013078689575195312,-0.0539015531539917,-0.09051322937011719,-0.11287349462509155,-0.0645761489868164,-0.013078689575195312,-0.0539015531539917,-0.005639806389808655,-0.009107932448387146,-0.002856314182281494,-0.0022900551557540894,-0.0011422783136367798,-0.005639806389808655,-0.009107932448387146,-0.002856314182281494,-0.0022900551557540894,-0.0011422783136367798,-0.12604105472564697,-0.16805827617645264,-0.094554603099823,-0.01830059289932251,-0.07207059860229492,-0.12604105472564697,-0.16805827617645264,-0.094554603099823,-0.01830059289932251,-0.07207059860229492,-0.012126386165618896,-0.018153667449951172,-0.007263511419296265,-0.002528071403503418,-0.002995222806930542,-0.012126386165618896,-0.018153667449951172,-0.007263511419296265,-0.002528071403503418,-0.002995222806930542
1,0.006922551430761814,0.008080112747848034,0.006451948545873165,0.001407885691151023,0.005684040952473879,0.006922551430761814,0.008080112747848034,0.006451948545873165,0.001407885691151023,0.005684040952473879,31.164993286132812,30.53449058532715,31.458209991455078,38.61450958251953,32.01142120361328,31.164993286132812,30.53449058532715,31.458209991455078,38.61450958251953,32.01142120361328,23.06718635559082,23.01905059814453,22.120397567749023,36.72145462036133,22.644088745117188,23.06718635559082,23.01905059814453,22.120397567749023,36.72145462036133,22.644088745117188,22.67570686340332,22.738502502441406,21.788785934448242,36.47517395019531,22.327360153198242,22.67570686340332,22.738502502441406,21.788785934448242,36.47517395019531,22.327360153198242,17.263568878173828,17.097759246826172,16.73316764831543,30.75791358947754,17.02106475830078,17.263568878173828,17.097759246826172,16.73316764831543,30.75791358947754,17.02106475830078,20.686180114746094,20.606584548950195,19.823261260986328,34.33401107788086,20.385540008544922,20.686180114746094,20.606584548950195,19.823261260986328,34.33401107788086,20.385540008544922,31.829591751098633,32.02111053466797,30.967544555664062,45.92734146118164,31.45876121520996,31.829591751098633,32.02111053466797,30.967544555664062,45.92734146118164,31.45876121520996,-0.3608362674713135,-0.17476630210876465,0.012616872787475586,-0.9472842216491699,0.03793478012084961,-0.3608362674713135,-0.17476630210876465,0.012616872787475586,-0.9472842216491699,0.03793478012084961,-0.06401717662811279,-0.06885313987731934,-0.0741075873374939,-0.006179094314575195,-0.06515330076217651,-0.06401717662811279,-0.06885313987731934,-0.0741075873374939,-0.006179094314575195,-0.06515330076217651,-0.040227651596069336,-0.04514950513839722,-0.04885894060134888,-0.003584742546081543,-0.04417884349822998,-0.040227651596069336,-0.04514950513839722,-0.04885894060134888,-0.003584742546081543,-0.04417884349822998,-0.28189921379089355,-0.30704236030578613,-0.2587623596191406,-0.05320239067077637,-0.21188926696777344,-0.28189921379089355,-0.30704236030578613,-0.2587623596191406,-0.05320239067077637,-0.21188926696777344,-0.07991468906402588,-0.09139978885650635,-0.09068679809570312,-0.007074832916259766,-0.07731246948242188,-0.07991468906402588,-0.09139978885650635,-0.09068679809570312,-0.007074832916259766,-0.07731246948242188
2,0.007502407766878605,0.009712989442050457,0.0064940787851810455,0.0014365885872393847,0.0060021523386240005,0.007502407766878605,0.009712989442050457,0.0064940787851810455,0.0014365885872393847,0.0060021523386240005,30.811843872070312,29.772165298461914,31.432912826538086,38.4456901550293,31.77933120727539,30.811843872070312,29.772165298461914,31.432912826538086,38.4456901550293,31.77933120727539,22.58987045288086,23.49681854248047,20.933212280273438,34.02881622314453,20.929920196533203,22.58987045288086,23.49681854248047,20.933212280273438,34.02881622314453,20.929920196533203,22.366409301757812,23.22737693786621,20.713472366333008,33.96216583251953,20.45835304260254,22.366409301757812,23.22737693786621,20.713472366333008,33.96216583251953,20.45835304260254,17.611106872558594,17.717327117919922,16.225852966308594,28.324195861816406,15.816276550292969,17.611106872558594,17.717327117919922,16.225852966308594,28.324195861816406,15.816276550292969,20.522979736328125,21.304073333740234,18.75778579711914,32.0675048828125,18.457752227783203,20.522979736328125,21.304073333740234,18.75778579711914,32.0675048828125,18.457752227783203,31.693439483642578,32.689029693603516,29.971221923828125,43.45887756347656,29.828514099121094,31.693439483642578,32.689029693603516,29.971221923828125,43.45887756347656,29.828514099121094,-0.9745244979858398,-1.4506440162658691,-0.38077354431152344,-0.842221736907959,-0.2945878505706787,-0.9745244979858398,-1.4506440162658691,-0.38077354431152344,-0.842221736907959,-0.2945878505706787,-0.07739615440368652,-0.10161679983139038,-0.07065653800964355,-0.008040189743041992,-0.06422203779220581,-0.07739615440368652,-0.10161679983139038,-0.07065653800964355,-0.008040189743041992,-0.06422203779220581,-0.044612109661102295,-0.05781400203704834,-0.04472672939300537,-0.0022523999214172363,-0.041484177112579346,-0.044612109661102295,-0.05781400203704834,-0.04472672939300537,-0.0022523999214172363,-0.041484177112579346,-0.2949483394622803,-0.3688163757324219,-0.2743309736251831,-0.05070185661315918,-0.2518054246902466,-0.2949483394622803,-0.3688163757324219,-0.2743309736251831,-0.05070185661315918,-0.2518054246902466,-0.12663400173187256,-0.16307997703552246,-0.10817259550094604,-0.011583566665649414,-0.09781128168106079,-0.12663400173187256,-0.16307997703552246,-0.10817259550094604,-0.011583566665649414,-0.09781128168106079
3,0.004676846321672201,0.005831551738083363,0.00387918995693326,0.0009010765934363008,0.0032979233656078577,0.004676846321672201,0.005831551738083363,0.00387918995693326,0.0009010765934363008,0.0032979233656078577,32.85599136352539,31.89664649963379,33.67034149169922,40.08430480957031,34.3782958984375,32.85599136352539,31.89664649963379,33.67034149169922,40.08430480957031,34.3782958984375,21.117570877075195,20.616493225097656,21.257444381713867,31.44567108154297,21.555265426635742,21.117570877075195,20.616493225097656,21.257444381713867,31.44567108154297,21.555265426635742,21.05949592590332,20.541847229003906,21.09829330444336,31.37472152709961,21.252941131591797,21.05949592590332,20.541847229003906,21.09829330444336,31.37472152709961,21.252941131591797,15.090394973754883,14.330015182495117,15.23693561553955,26.304927825927734,15.947513580322266,15.090394973754883,14.330015182495117,15.23693561553955,26.304927825927734,15.947513580322266,19.00579261779785,18.501850128173828,19.146053314208984,29.63277244567871,19.383665084838867,19.00579261779785,18.501850128173828,19.146053314208984,29.63277244567871,19.383665084838867,30.238208770751953,29.898956298828125,30.307044982910156,40.738121032714844,30.490276336669922,30.238208770751953,29.898956298828125,30.307044982910156,40.738121032714844,30.490276336669922,-0.3589653968811035,-0.4154205322265625,-0.21260619163513184,-0.45618200302124023,-0.11115694046020508,-0.3589653968811035,-0.4154205322265625,-0.21260619163513184,-0.45618200302124023,-0.11115694046020508,-0.12006908655166626,-0.12963247299194336,-0.1112479567527771,-0.009867429733276367,-0.09976702928543091,-0.12006908655166626,-0.12963247299194336,-0.1112479567527771,-0.009867429733276367,-0.09976702928543091,-0.05883932113647461,-0.05134159326553345,-0.05718928575515747,-0.0018540620803833008,-0.05465734004974365,-0.05883932113647461,-0.05134159326553345,-0.05718928575515747,-0.0018540620803833008,-0.05465734004974365,-0.28439199924468994,-0.33498120307922363,-0.25945037603378296,-0.06182575225830078,-0.21171081066131592,-0.28439199924468994,-0.33498120307922363,-0.25945037603378296,-0.06182575225830078,-0.21171081066131592,-0.13187825679779053,-0.13915705680847168,-0.12094074487686157,-0.009633243083953857,-0.1096922755241394,-0.13187825679779053,-0.13915705680847168,-0.12094074487686157,-0.009633243083953857,-0.1096922755241394
4,0.008341108448803425,0.009009706787765026,0.00682116998359561,0.0016269402112811804,0.005942112300544977,0.008341108448803425,0.009009706787765026,0.00682116998359561,0.0016269402112811804,0.005942112300544977,30.494125366210938,30.04734230041504,31.224285125732422,38.06937026977539,31.83243179321289,30.494125366210938,30.04734230041504,31.224285125732422,38.06937026977539,31.83243179321289,24.53569793701172,23.38807487487793,22.92412567138672,33.658042907714844,23.627548217773438,24.53569793701172,23.38807487487793,22.92412567138672,33.658042907714844,23.627548217773438,24.25688934326172,23.107511520385742,22.628141403198242,33.50684356689453,23.358657836914062,24.25688934326172,23.107511520385742,22.628141403198242,33.50684356689453,23.358657836914062,18.099044799804688,17.473968505859375,17.3622989654541,27.64655113220215,18.188186645507812,18.099044799804688,17.473968505859375,17.3622989654541,27.64655113220215,18.188186645507812,22.16808319091797,21.028339385986328,20.59054183959961,31.541658401489258,21.44603157043457,22.16808319091797,21.028339385986328,20.59054183959961,31.541658401489258,21.44603157043457,33.377349853515625,32.366519927978516,31.632118225097656,42.84778594970703,32.278263092041016,33.377349853515625,32.366519927978516,31.632118225097656,42.84778594970703,32.278263092041016,-1.7957582473754883,-1.1175622940063477,-0.7934577465057373,-0.41367149353027344,-0.8223903179168701,-1.7957582473754883,-1.1175622940063477,-0.7934577465057373,-0.41367149353027344,-0.8223903179168701,-0.0897902250289917,-0.08692705631256104,-0.0885971188545227,-0.011889100074768066,-0.07262486219406128,-0.0897902250289917,-0.08692705631256104,-0.0885971188545227,-0.011889100074768066,-0.07262486219406128,-0.05835515260696411,-0.05311006307601929,-0.05884432792663574,-0.007387876510620117,-0.04737710952758789,-0.05835515260696411,-0.05311006307601929,-0.05884432792663574,-0.007387876510620117,-0.04737710952758789,-0.3932006359100342,-0.36466801166534424,-0.3076934814453125,-0.06924796104431152,-0.23562395572662354,-0.3932006359100342,-0.36466801166534424,-0.3076934814453125,-0.06924796104431152,-0.23562395572662354,-0.1260085105895996,-0.12624585628509521,-0.12289941310882568,-0.017011404037475586,-0.10108745098114014,-0.1260085105895996,-0.12624585628509521,-0.12289941310882568,-0.017011404037475586,-0.10108745098114014
5,0.005500721745193005,0.006035282742232084,0.004435244016349316,0.0009675853070802987,0.0037575089372694492,0.005500721745193005,0.006035282742232084,0.004435244016349316,0.0009675853070802987,0.0037575089372694492,32.14822006225586,31.750675201416016,33.08572769165039,39.918609619140625,33.81062316894531,32.14822006225586,31.750675201416016,33.08572769165039,39.918609619140625,33.81062316894531,22.94986343383789,22.734575271606445,22.556076049804688,33.73680877685547,21.62905502319336,22.94986343383789,22.734575271606445,22.556076049804688,33.73680877685547,21.62905502319336,22.775747299194336,22.669940948486328,22.244077682495117,33.651649475097656,21.297971725463867,22.775747299194336,22.669940948486328,22.244077682495117,33.651649475097656,21.297971725463867,16.61180305480957,16.59539794921875,16.462814331054688,28.349517822265625,16.468040466308594,16.61180305480957,16.59539794921875,16.462814331054688,28.349517822265625,16.468040466308594,20.84496307373047,20.69857406616211,20.39102554321289,31.819265365600586,19.562213897705078,20.84496307373047,20.69857406616211,20.39102554321289,31.819265365600586,19.562213897705078,32.07288360595703,31.954675674438477,31.44158363342285,43.05274200439453,30.381622314453125,32.07288360595703,31.954675674438477,31.44158363342285,43.05274200439453,30.381622314453125,-1.4535839557647705,-1.3194499015808105,-1.0661869049072266,-0.7555184364318848,-0.6182575225830078,-1.4535839557647705,-1.3194499015808105,-1.0661869049072266,-0.7555184364318848,-0.6182575225830078,-0.1174154281616211,-0.11959081888198853,-0.09347456693649292,-0.012003839015960693,-0.07441067695617676,-0.1174154281616211,-0.11959081888198853,-0.09347456693649292,-0.012003839015960693,-0.07441067695617676,-0.060760676860809326,-0.05001908540725708,-0.05326497554779053,-0.0026918649673461914,-0.04650378227233887,-0.060760676860809326,-0.05001908540725708,-0.05326497554779053,-0.0026918649673461914,-0.04650378227233887,-0.3138647675514221,-0.32560181617736816,-0.2495408058166504,-0.06431698799133301,-0.2069372534751892,-0.3138647675514221,-0.32560181617736816,-0.2495408058166504,-0.06431698799133301,-0.2069372534751892,-0.1355839967727661,-0.13154226541519165,-0.1077202558517456,-0.011655211448669434,-0.08502382040023804,-0.1355839967727661,-0.13154226541519165,-0.1077202558517456,-0.011655211448669434,-0.08502382040023804
6,0.012189183384180069,0.0135647626593709,0.012149065732955933,0.0032625531312078238,0.011754912324249744,0.012189183384180069,0.0135647626593709,0.012149065732955933,0.0032625531312078238,0.011754912324249744,30.56019401550293,30.417842864990234,30.618179321289062,36.740562438964844,30.622568130493164,30.56019401550293,30.417842864990234,30.618179321289062,36.740562438964844,30.622568130493164,25.89240264892578,27.52075958251953,25.058244705200195,34.57506561279297,25.29857635498047,25.89240264892578,27.52075958251953,25.058244705200195,34.57506561279297,25.29857635498047,25.76806640625,27.438827514648438,24.91736602783203,34.48640441894531,25.17163848876953,25.76806640625,27.438827514648438,24.91736602783203,34.48640441894531,25.17163848876953,19.421926498413086,20.597654342651367,18.676746368408203,27.887290954589844,19.12657928466797,19.421926498413086,20.597654342651367,18.676746368408203,27.887290954589844,19.12657928466797,23.741573333740234,25.283977508544922,22.89149284362793,32.4809684753418,23.155561447143555,23.741573333740234,25.283977508544922,22.89149284362793,32.4809684753418,23.155561447143555,35.668006896972656,37.36071014404297,34.82284927368164,44.281761169433594,35.07206726074219,35.668006896972656,37.36071014404297,34.82284927368164,44.281761169433594,35.07206726074219,0.42523670196533203,-1.3217363357543945,0.9301495552062988,-0.4942026138305664,0.8098850250244141,0.42523670196533203,-1.3217363357543945,0.9301495552062988,-0.4942026138305664,0.8098850250244141,-0.008322954177856445,-0.02960205078125,0.008201837539672852,-0.016549348831176758,0.0017088651657104492,-0.008322954177856445,-0.02960205078125,0.008201837539672852,-0.016549348831176758,0.0017088651657104492,0.009915590286254883,-0.0016139745712280273,0.01771700382232666,-0.016402363777160645,0.010981202125549316,0.009915590286254883,-0.0016139745712280273,0.01771700382232666,-0.016402363777160645,0.010981202125549316,-0.2702980041503906,-0.30373334884643555,-0.20272541046142578,-0.0363154411315918,-0.23852849006652832,-0.2702980041503906,-0.30373334884643555,-0.20272541046142578,-0.0363154411315918,-0.23852849006652832,-0.04068291187286377,-0.06191074848175049,-0.01930701732635498,-0.0167539119720459,-0.03001558780670166,-0.04068291187286377,-0.06191074848175049,-0.01930701732635498,-0.0167539119720459,-0.03001558780670166
7,0.001518705626949668,0.0019685172010213137,0.0013887750683352351,0.0006812128121964633,0.0013827624497935176,0.001518705626949668,0.0019685172010213137,0.0013887750683352351,0.0006812128121964633,0.0013827624497935176,37.78996658325195,36.64546585083008,38.181549072265625,42.29664993286133,38.2066535949707,37.78996658325195,36.64546585083008,38.181549072265625,42.29664993286133,38.2066535949707,22.541704177856445,24.270275115966797,21.372333526611328,36.56490707397461,19.971195220947266,22.541704177856445,24.270275115966797,21.372333526611328,36.56490707397461,19.971195220947266,22.723180770874023,25.772335052490234,21.386754989624023,37.24531555175781,20.017902374267578,22.723180770874023,25.772335052490234,21.386754989624023,37.24531555175781,20.017902374267578,15.95095443725586,16.806989669799805,14.919034957885742,28.05017852783203,14.199999809265137,15.95095443725586,16.806989669799805,14.919034957885742,28.05017852783203,14.199999809265137,19.653827667236328,21.274131774902344,18.465595245361328,33.221923828125,17.030536651611328,19.653827667236328,21.274131774902344,18.465595245361328,33.221923828125,17.030536651611328,32.49983596801758,34.184696197509766,31.320236206054688,46.03107452392578,29.941200256347656,32.49983596801758,34.184696197509766,31.320236206054688,46.03107452392578,29.941200256347656,-0.20784759521484375,-0.6776320934295654,0.03098273277282715,-1.4293220043182373,0.21117830276489258,-0.20784759521484375,-0.6776320934295654,0.03098273277282715,-1.4293220043182373,0.21117830276489258,-0.1601751446723938,-0.22645103931427002,-0.12477564811706543,-0.04267227649688721,-0.11129552125930786,-0.1601751446723938,-0.22645103931427002,-0.12477564811706543,-0.04267227649688721,-0.11129552125930786,0.0024982094764709473,-0.0011151954531669617,0.007473260164260864,0.0004490315914154053,0.008112713694572449,0.0024982094764709473,-0.0011151954531669617,0.007473260164260864,0.0004490315914154053,0.008112713694572449,-0.14430242776870728,-0.2145037055015564,-0.10734468698501587,-0.04085904359817505,-0.08708268404006958,-0.14430242776870728,-0.2145037055015564,-0.10734468698501587,-0.04085904359817505,-0.08708268404006958,0.0018060505390167236,-0.005712062120437622,0.013033837080001831,0.00033912062644958496,0.015597552061080933,0.0018060505390167236,-0.005712062120437622,0.013033837080001831,0.00033912062644958496,0.015597552061080933
8,0.005947724916040897,0.006746489088982344,0.005212490446865559,0.0011640158481895924,0.004766021855175495,0.005947724916040897,0.006746489088982344,0.005212490446865559,0.0011640158481895924,0.004766021855175495,31.812726974487305,31.264366149902344,32.38782501220703,39.212059020996094,32.778926849365234,31.812726974487305,31.264366149902344,32.38782501220703,39.212059020996094,32.778926849365234,20.594871520996094,22.160551071166992,20.66387176513672,35.96723937988281,19.319835662841797,20.594871520996094,22.160551071166992,20.66387176513672,35.96723937988281,19.319835662841797,20.155654907226562,21.70351791381836,20.003551483154297,35.85588073730469,18.502262115478516,20.155654907226562,21.70351791381836,20.003551483154297,35.85588073730469,18.502262115478516,14.441709518432617,16.07712173461914,15.227116584777832,30.241056442260742,14.028692245483398,14.441709518432617,16.07712173461914,15.227116584777832,30.241056442260742,14.028692245483398,18.280261993408203,19.853069305419922,18.24920654296875,34.16461944580078,16.97127342224121,18.280261993408203,19.853069305419922,18.24920654296875,34.16461944580078,16.97127342224121,29.07159423828125,30.6724853515625,28.851530075073242,44.8773307800293,27.366498947143555,29.07159423828125,30.6724853515625,28.851530075073242,44.8773307800293,27.366498947143555,-0.031685590744018555,-0.14311003684997559,0.011972188949584961,-0.7032456398010254,0.36723101139068604,-0.031685590744018555,-0.14311003684997559,0.011972188949584961,-0.7032456398010254,0.36723101139068604,-0.09360134601593018,-0.09766244888305664,-0.0753212571144104,-0.007099926471710205,-0.05798524618148804,-0.09360134601593018,-0.09766244888305664,-0.0753212571144104,-0.007099926471710205,-0.05798524618148804,-0.06828439235687256,-0.06484627723693848,-0.05644279718399048,-0.0016086697578430176,-0.04769003391265869,-0.06828439235687256,-0.06484627723693848,-0.05644279718399048,-0.0016086697578430176,-0.04769003391265869,-0.2551855444908142,-0.3028991222381592,-0.19829970598220825,-0.05611145496368408,-0.16058093309402466,-0.2551855444908142,-0.3028991222381592,-0.19829970598220825,-0.05611145496368408,-0.16058093309402466,-0.12481677532196045,-0.1374441385269165,-0.10079020261764526,-0.012106537818908691,-0.07989734411239624,-0.12481677532196045,-0.1374441385269165,-0.10079020261764526,-0.012106537818908691,-0.07989734411239624
9,0.005456072743982077,0.009610360488295555,0.0037195009645074606,0.005002099089324474,0.0026940200477838516,0.005456072743982077,0.009610360488295555,0.0037195009645074606,0.005002099089324474,0.0026940200477838516,32.23417663574219,30.088600158691406,33.92527389526367,37.29553985595703,35.38401412963867,32.23417663574219,30.088600158691406,33.92527389526367,37.29553985595703,35.38401412963867,22.252307891845703,24.249134063720703,20.201488494873047,33.981109619140625,16.93211555480957,22.252307891845703,24.249134063720703,20.201488494873047,33.981109619140625,16.93211555480957,22.903947830200195,24.973800659179688,21.874610900878906,34.4000358581543,17.104738235473633,22.903947830200195,24.973800659179688,21.874610900878906,34.4000358581543,17.104738235473633,13.542045593261719,15.043146133422852,12.757261276245117,24.63275718688965,11.226247787475586,13.542045593261719,15.043146133422852,12.757261276245117,24.63275718688965,11.226247787475586,18.693195343017578,20.96137046813965,17.432571411132812,32.06318283081055,14.300933837890625,18.693195343017578,20.96137046813965,17.432571411132812,32.06318283081055,14.300933837890625,31.510822296142578,33.776275634765625,30.138019561767578,43.49188995361328,26.878597259521484,31.510822296142578,33.776275634765625,30.138019561767578,43.49188995361328,26.878597259521484,-1.4837151765823364,-3.0923871994018555,-0.8016431331634521,-3.143784523010254,0.0022107362747192383,-1.4837151765823364,-3.0923871994018555,-0.8016431331634521,-3.143784523010254,0.0022107362747192383,-0.4404972493648529,-0.6284326910972595,-0.32173818349838257,-0.18795251846313477,-0.22145432233810425,-0.4404972493648529,-0.6284326910972595,-0.32173818349838257,-0.18795251846313477,-0.22145432233810425,0.0035752058029174805,-0.012218140065670013,-0.0023287609219551086,-0.0038920938968658447,0.0017778277397155762,0.0035752058029174805,-0.012218140065670013,-0.0023287609219551086,-0.0038920938968658447,0.0017778277397155762,-0.38902223110198975,-0.5585196018218994,-0.33710771799087524,-0.09538722038269043,-0.22930139303207397,-0.38902223110198975,-0.5585196018218994,-0.33710771799087524,-0.09538722038269043,-0.22930139303207397,0.0037768781185150146,-0.03170087933540344,-0.017515212297439575,-0.006771638989448547,-0.01473146677017212,0.0037768781185150146,-0.03170087933540344,-0.017515212297439575,-0.006771638989448547,-0.01473146677017212
