timepoint,metric,role,direction,n,V13_mean,A4_mean,delta_A4_minus_V13_mean,delta_pct_vs_V13,delta_blkCI_lo,delta_blkCI_hi,win_rate_A4_better,V13_source_csv,A4_source_csv
D50,psnr,independent,higher_better,7403,42.622377929986634,42.622377929986634,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,ssim,training-aligned,higher_better,7403,0.9897079673004073,0.9897079673004073,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,ms_ssim,independent,higher_better,7403,0.9987628010500287,0.9987628010500287,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,nrmse,independent,lower_better,7403,0.00921538005079361,0.00921538005079361,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,rmse,independent,lower_better,7403,0.027646140152726886,0.027646140152726886,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,mae,training-aligned,lower_better,7403,0.007154708230991628,0.007154708230991628,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,seam,training-aligned,lower_better,7403,0.042395317288755036,0.042395317288755036,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D50,ext_seam,supporting_gt_seam,lower_better,7403,0.00935639007912323,0.00935639007912323,0.0,0.0,0.0,0.0,0.0,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,psnr,independent,higher_better,7403,35.21715886120136,35.49179755724709,0.27463869604572716,0.779843419874213,0.2570191399615492,0.29231066778247433,0.8896393354045657,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,ssim,training-aligned,higher_better,7403,0.9557834914950251,0.9612877987436905,0.0055043072486654805,0.5758947813647325,0.005369622773582025,0.005648420065717887,0.9987842766446036,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,ms_ssim,independent,higher_better,7403,0.983782459952679,0.9846882612000248,0.0009058012473459259,0.0920733276124374,0.0008666151452142406,0.0009457070664764985,0.9569093610698366,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,nrmse,independent,lower_better,7403,0.022520158332898464,0.02205326826562448,-0.00046689006727398556,-2.0732095235402115,-0.0004786510826951482,-0.00045396115014020177,0.8896393354045657,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,rmse,independent,lower_better,7403,0.06756047499184314,0.06615980480387529,-0.00140067018796786,-2.073209503244269,-0.0014359531967567034,-0.0013618834578276436,0.8896393354045657,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,mae,training-aligned,lower_better,7403,0.017146239152129403,0.016261531988134684,-0.0008847071639947197,-5.159773849794036,-0.0009140560511484167,-0.0008566065380668474,0.9990544373902472,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,seam,training-aligned,lower_better,7403,0.02591009476830919,0.019784933057033105,-0.006125161711276081,-23.640059081404086,-0.0063495431369455764,-0.005905298159135834,0.9993245981358908,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D20,ext_seam,supporting_gt_seam,lower_better,7403,0.01378958283436199,0.012756471780230191,-0.0010331110541318025,-7.491967426000831,-0.0010649766345644858,-0.001001876330002926,0.9994596785087126,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,psnr,independent,higher_better,7403,35.597090462763475,35.886429164468844,0.28933870170536297,0.8128155923530526,0.2789493517757381,0.29935968019683984,0.9285424827772525,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,ssim,training-aligned,higher_better,7403,0.9521342067803529,0.957309615583045,0.005175408802692046,0.5435587510496781,0.005047910317589428,0.0053034515297338295,0.9972983925435635,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,ms_ssim,independent,higher_better,7403,0.9820549047010969,0.9833108747261498,0.0012559700250528998,0.12789203730265702,0.0012025920917223634,0.0013086440795277985,0.979467783331082,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,nrmse,independent,lower_better,7403,0.021335080231485417,0.02072284916707489,-0.0006122310644105272,-2.869598134939386,-0.0006305927793106969,-0.000593220702471178,0.9285424827772525,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,rmse,independent,lower_better,7403,0.06400524069476693,0.062168547518949284,-0.0018366931758176394,-2.8695981077184003,-0.0018917782525259808,-0.0017796621447362564,0.9285424827772525,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,mae,training-aligned,lower_better,7403,0.016430350307941387,0.015660913054057965,-0.0007694372538834202,-4.683024034560743,-0.0007954972800096046,-0.0007432611233342369,0.9968931514250979,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,seam,training-aligned,lower_better,7403,0.02250389408139782,0.017469015921996647,-0.005034878159401173,-22.3733640995187,-0.005234046090747526,-0.004835796023355175,0.9987842766446036,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D10,ext_seam,supporting_gt_seam,lower_better,7403,0.012385126224323412,0.011471242158303386,-0.0009138840660200296,-7.378883747064551,-0.0009452152715323026,-0.0008836711694980927,0.9985141158989599,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
D4,psnr,independent,higher_better,7403,36.11222948548139,36.45925266477018,0.3470231792887915,0.9609575045160508,0.33536340109488905,0.35896778411782165,0.935971903282453,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/v13/first_hop_224_val_clip3_eval.csv,/data_2/qujiaxiang/outputs/PET_LatentResidual/review_0601_bext_metrics/a4/first_hop_224_val_clip3_eval.csv
