sample_id,slice_idx,hop_idx,src,dst,trace_hutchinson_mean,trace_hutchinson_std,top1_energy_concentration,topk_energy_concentration,top1_over_uniform,topk_over_uniform,uniform_top1_baseline,uniform_topk_baseline,mv_calls,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8
0,322,0,D50,D20,51888.612060546875,1591.0689226735396,0.002799951530508361,0.015674966666196943,550.4928705101878,385.2279807884561,5.086263020833333e-06,4.0690104166666664e-05,40,12.053447587926154,11.220099832835226,10.861886372151176,10.043589385480702,9.538434632029103,9.099110285264073,8.942505188583988,8.341332017383,145.2855987548828,125.89064025878906,117.98057556152344,100.87368774414062,90.98173522949219,82.79380798339844,79.96839904785156,69.57781982421875
1,1064,0,D50,D20,25913.76708984375,1026.3243477033373,0.007448696585985727,0.03228514111156302,1464.473338377482,793.4396279577728,5.086263020833333e-06,4.0690104166666664e-05,40,13.893300128196628,11.572210080299188,10.514867520080495,9.84018606428685,9.5182656819295,8.905162865393294,8.425942424281375,7.8359606239532935,193.02378845214844,133.91604614257812,110.56243896484375,96.82926177978516,90.59738159179688,79.30192565917969,70.99650573730469,61.402278900146484
2,2029,0,D50,D20,21081.362182617188,1282.427785705641,0.014034098346842222,0.04539212511283898,2759.2160077759554,1115.5568667731309,5.086263020833333e-06,4.0690104166666664e-05,40,17.200520636197325,11.024257615887127,10.6336361960526,10.385092365146166,9.861223872678778,9.549361634014469,8.482884397288101,7.630067485945841,295.85791015625,121.53425598144531,113.07421875,107.85014343261719,97.24373626708984,91.1903076171875,71.9593276977539,58.21792984008789
3,2833,0,D50,D20,30556.257934570312,1807.3776678755771,0.018309968846885325,0.05926108844084477,3599.8863550484302,1456.400509522201,5.086263020833333e-06,4.0690104166666664e-05,40,23.653416896071803,19.967753545169398,14.879671276932509,14.28038826978252,11.531187145196242,10.646818489930197,9.929208811484948,9.074991811533195,559.484130859375,398.711181640625,221.4046173095703,203.9294891357422,132.96827697753906,113.35474395751953,98.58918762207031,82.35547637939453
4,4561,0,D50,D20,50031.037109375,2034.5123357715256,0.0074400605955888864,0.033260606484954984,1462.7754335775398,817.4126649742537,5.086263020833333e-06,4.0690104166666664e-05,40,19.293365381755102,16.18807499280431,15.284250288606426,14.85440253043295,13.402907303803005,12.675480904569632,11.241820349937703,10.432117284852671,372.23394775390625,262.05377197265625,233.60830688476562,220.6532745361328,179.63792419433594,160.66781616210938,126.37852478027344,108.82907104492188
5,5002,0,D50,D20,20508.034423828125,759.9429870659225,0.007009637687373121,0.03453696424433931,1378.1508464390545,848.7804332688829,5.086263020833333e-06,4.0690104166666664e-05,40,11.989741072734262,10.152796888935026,9.956748506430827,9.522177659054964,8.80725720874641,8.280939060347649,8.071048906080048,7.769157358477882,143.75389099121094,103.07928466796875,99.1368408203125,90.67186737060547,77.56777954101562,68.5739517211914,65.14183044433594,60.359806060791016
6,7162,0,D50,D20,113760.708984375,6498.730567294954,0.012130569421151509,0.08435637081934748,2384.9669927537557,2073.142169256284,5.086263020833333e-06,4.0690104166666664e-05,40,37.14811136160727,36.68772126477144,36.51152629970945,36.0082201579766,35.63416137684806,33.08011220117289,31.588988536788317,29.645143509374453,1379.982177734375,1345.9888916015625,1333.091552734375,1296.5919189453125,1269.79345703125,1094.2938232421875,997.8641967773438,878.8345336914062
7,7368,0,D50,D20,99420.41064453125,2863.9330191970853,0.002795261094354186,0.015601294566892613,549.5706932387878,383.41741527595286,5.086263020833333e-06,4.0690104166666664e-05,40,16.670513065271116,15.566868425541632,15.10146954187634,14.23715219717577,13.521608366694608,12.718282705059686,12.112594708051757,10.430688885681656,277.906005859375,242.327392578125,228.05438232421875,202.69650268554688,182.83389282226562,161.7547149658203,146.71495056152344,108.79927062988281
8,1003,3,D4,NORMAL,40080.904541015625,1437.4118312021615,0.009028860297426375,0.04249980763243241,1775.1461653564047,1044.475272374659,5.086263020833333e-06,4.0690104166666664e-05,40,19.023272265709508,18.59316077060074,16.63565525113951,14.707017762278012,13.443776922407375,11.020268926368026,10.331199015395217,9.689359228090192,361.8848876953125,345.70562744140625,276.7450256347656,216.29637145996094,180.73513793945312,121.44632720947266,106.73367309570312,93.88368225097656
9,1730,3,D4,NORMAL,22240.20947265625,1059.006339054096,0.01111702225055183,0.04336269637108139,2185.695510636494,1065.6816260156963,5.086263020833333e-06,4.0690104166666664e-05,40,15.724023135459102,15.182028455944527,10.301662599762038,9.93596555751169,9.322219589570494,8.747269994737778,7.907970618186167,7.473579154326029,247.24490356445312,230.49398803710938,106.12425231933594,98.7234115600586,86.90377807617188,76.51473236083984,62.5359992980957,55.85438537597656
