timepoint,stratum,n,stratifier,seam_threshold,psnr_v13,psnr_l1_only,psnr_a4_mid,psnr_l1_vs_v13_delta,psnr_l1_vs_v13_ci_lo,psnr_l1_vs_v13_ci_hi,psnr_l1_vs_v13_win_rate,psnr_a4_vs_v13_delta,psnr_a4_vs_v13_ci_lo,psnr_a4_vs_v13_ci_hi,psnr_a4_vs_v13_win_rate,psnr_a4_vs_l1_delta,psnr_a4_vs_l1_ci_lo,psnr_a4_vs_l1_ci_hi,psnr_a4_vs_l1_win_rate,ms_ssim_v13,ms_ssim_l1_only,ms_ssim_a4_mid,ms_ssim_l1_vs_v13_delta,ms_ssim_l1_vs_v13_ci_lo,ms_ssim_l1_vs_v13_ci_hi,ms_ssim_l1_vs_v13_win_rate,ms_ssim_a4_vs_v13_delta,ms_ssim_a4_vs_v13_ci_lo,ms_ssim_a4_vs_v13_ci_hi,ms_ssim_a4_vs_v13_win_rate,ms_ssim_a4_vs_l1_delta,ms_ssim_a4_vs_l1_ci_lo,ms_ssim_a4_vs_l1_ci_hi,ms_ssim_a4_vs_l1_win_rate,nrmse_v13,nrmse_l1_only,nrmse_a4_mid,nrmse_l1_vs_v13_delta,nrmse_l1_vs_v13_ci_lo,nrmse_l1_vs_v13_ci_hi,nrmse_l1_vs_v13_win_rate,nrmse_a4_vs_v13_delta,nrmse_a4_vs_v13_ci_lo,nrmse_a4_vs_v13_ci_hi,nrmse_a4_vs_v13_win_rate,nrmse_a4_vs_l1_delta,nrmse_a4_vs_l1_ci_lo,nrmse_a4_vs_l1_ci_hi,nrmse_a4_vs_l1_win_rate,seam_v13,seam_l1_only,seam_a4_mid,seam_l1_vs_v13_delta,seam_l1_vs_v13_ci_lo,seam_l1_vs_v13_ci_hi,seam_l1_vs_v13_win_rate,seam_a4_vs_v13_delta,seam_a4_vs_v13_ci_lo,seam_a4_vs_v13_ci_hi,seam_a4_vs_v13_win_rate,seam_a4_vs_l1_delta,seam_a4_vs_l1_ci_lo,seam_a4_vs_l1_ci_hi,seam_a4_vs_l1_win_rate,ext_seam_v13,ext_seam_l1_only,ext_seam_a4_mid,ext_seam_l1_vs_v13_delta,ext_seam_l1_vs_v13_ci_lo,ext_seam_l1_vs_v13_ci_hi,ext_seam_l1_vs_v13_win_rate,ext_seam_a4_vs_v13_delta,ext_seam_a4_vs_v13_ci_lo,ext_seam_a4_vs_v13_ci_hi,ext_seam_a4_vs_v13_win_rate,ext_seam_a4_vs_l1_delta,ext_seam_a4_vs_l1_ci_lo,ext_seam_a4_vs_l1_ci_hi,ext_seam_a4_vs_l1_win_rate
D50,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,49.37437969632786,49.37437969632786,49.37437969632786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994475223498368,0.9994475223498368,0.9994475223498368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004377007860262241,0.004377007860262241,0.004377007860262241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01284228771593085,0.01284228771593085,0.01284228771593085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003202760970570725,0.003202760970570725,0.003202760970570725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,mid,2467,V13 seam_NORMAL tertile,"(0.01163887, 0.02827142]",41.541494510949654,41.541494510949654,41.541494510949654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988067795692014,0.9988067795692014,0.9988067795692014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008743225539463297,0.008743225539463297,0.008743225539463297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038810768420081306,0.038810768420081306,0.038810768420081306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008551388635516414,0.008551388635516414,0.008551388635516414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D50,high,2468,V13 seam_NORMAL tertile,> 0.02827142,36.950821623436426,36.950821623436426,36.950821623436426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980341190505453,0.9980341190505453,0.9980341190505453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01452571544207548,0.01452571544207548,0.01452571544207548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07553144331985248,0.07553144331985248,0.07553144331985248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016314694455657246,0.016314694455657246,0.016314694455657246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D20,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,42.80342174568145,43.153442921022894,43.2460660275483,0.3500211753414404,0.2958700017408318,0.40245765055314525,0.7990275526742301,0.44264428186684945,0.38975293027809876,0.4974138406588325,0.8711507293354943,0.09262310652540905,0.08410854549949226,0.10124162946245979,0.7402755267423015,0.9951412065537281,0.9954496007201351,0.9955504040084356,0.0003083941664069746,0.0002815937910174628,0.0003325583600657308,0.9064019448946515,0.0004091974547075491,0.0003830156340950825,0.0004329254867947833,0.9424635332252836,0.0001008032883005745,9.134952663550407e-05,0.00011034848974531625,0.6316855753646677,0.00999166795629806,0.00985034793213147,0.009742357817328384,-0.0001413200241665909,-0.00015727894470246627,-0.00012342625719313785,0.7990275526742301,-0.00024931013896967765,-0.00026406419262281933,-0.00023378407322628347,0.8711507293354943,-0.00010799011480308672,-0.00011789552814658926,-9.856243380405901e-05,0.7402755267423015,0.008859238820763704,0.008038265958386496,0.006787691992256418,-0.0008209728623772073,-0.0008567068551574625,-0.0007876882446814733,0.9890599675850892,-0.002071546828507286,-0.0021344734503631886,-0.0020065079458551796,0.9979740680713128,-0.0012505739661300783,-0.0012871186902898067,-0.0012141449512638595,0.9955429497568882,0.004511512011705446,0.004159621692790798,0.003998368981684335,-0.00035189031891464794,-0.0003619085782068468,-0.00034237175825457106,0.9979740680713128,-0.0005131430300211118,-0.0005245657858176349,-0.0005012678438800553,0.9983792544570502,-0.00016125271110646383,-0.00016682536720545696,-0.00015610656392861473,0.976904376012966
D20,mid,2467,V13 seam_NORMAL tertile,"(0.01163887, 0.02827142]",33.716421299741484,33.79686376681166,33.88072316676182,0.08044246707018127,0.0721033220210077,0.08883407615043218,0.7474665585731658,0.1643018670203376,0.15492026218244392,0.17297888427500865,0.8747466558573166,0.08385939995015636,0.07835043376882762,0.08966783395549839,0.7778678556951764,0.9834467332567046,0.9839243153642439,0.9842829199807577,0.00047758210753930645,0.0004173860865949763,0.0005322681991349456,0.8808269152817186,0.0008361867240531559,0.0007777312404746245,0.0008941221147988905,0.9432509120389136,0.0003586046165138495,0.0003336050874629859,0.0003835460297192549,0.8171868666396432,0.021610742205331865,0.021440475387102347,0.021247039561133104,-0.00017026681822951526,-0.0001913388913038233,-0.00014895672275128704,0.7474665585731658,-0.00036370264419875845,-0.0003846728912840141,-0.0003422509886612825,0.8747466558573166,-0.00019343582596924316,-0.00020629862443452234,-0.00018011448770100089,0.7778678556951764,0.022824203054544096,0.021024211265303776,0.01743324749084151,-0.001799991789240319,-0.0018700381477329809,-0.0017342966168354041,0.9955411430887718,-0.005390955563702587,-0.005616109938478463,-0.00516390553389682,1.0,-0.0035909637744622673,-0.0037543304297765227,-0.0034232064340964648,1.0,0.012528535841998539,0.011966826033109914,0.011585687535554836,-0.0005617098088886243,-0.0005774432195233121,-0.0005474098090599221,0.999189298743413,-0.0009428483064437038,-0.0009704529150189292,-0.0009170611973970723,1.0,-0.0003811384975550795,-0.0003948016091008557,-0.00036712726235524107,0.9914876368058371
D20,high,2468,V13 seam_NORMAL tertile,> 0.02827142,29.131025459752678,29.25891320366683,29.3479506920217,0.12788774391414884,0.11741945902807108,0.13901519744965393,0.8261750405186385,0.21692523226902774,0.2041486871475451,0.22974494083370617,0.9230145867098866,0.0890374883548789,0.08336818132434741,0.09443480240291606,0.7982171799027553,0.9727593040157176,0.9735858493048329,0.9742312953721376,0.0008265452891153493,0.0007617685308403638,0.0009001109580021816,0.9278768233387358,0.001471991356419976,0.0013378101378389462,0.0016221634041354953,0.9850081037277147,0.0006454460673046266,0.000562709443258882,0.0007393739857926748,0.8869529983792545,0.03595769635403175,0.03549932391492943,0.035170080745517245,-0.0004583724391023286,-0.0004872568453905389,-0.0004306032260082891,0.8261750405186385,-0.0007876156085145145,-0.000816626979746002,-0.0007578875557625156,0.9230145867098866,-0.00032924316941218595,-0.00034932002387080504,-0.00030951674854400984,0.7982171799027553,0.046045592068309625,0.04262009759115076,0.03513290681702657,-0.003425494477158862,-0.0035833785822355206,-0.0032772247721607126,0.9825769854132901,-0.010912685251283057,-0.011358735708929629,-0.010504806235736778,1.0,-0.007487190774124194,-0.0077759976675764115,-0.007203633007590882,1.0,0.024328189690309053,0.02344813975022511,0.022684884437614964,-0.0008800499400839427,-0.0009172299225054367,-0.0008448874864759748,1.0,-0.0016433052526940886,-0.0017137100437376515,-0.001579129189580395,1.0,-0.0007632553126101459,-0.000797929988452875,-0.0007301685461662629,0.9991896272285251
D10,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,43.00767652584149,43.25182589287042,43.35940436147973,0.24414936702893092,0.2188549551321138,0.26834902433812563,0.799837925445705,0.3517278356382447,0.3269472037544089,0.374610681276069,0.9108589951377634,0.10757846860931379,0.09295256572216253,0.12108258727273548,0.6843598055105349,0.9946922293503435,0.9950602347788973,0.9952400641416228,0.00036800542855378683,0.0003392287986393116,0.00039714802014286746,0.9116693679092382,0.0005478347912793028,0.0005158136476106373,0.0005834834773932708,0.9647487844408428,0.000179829362725516,0.00016471117274258605,0.0001939774507496693,0.7167747163695299,0.009608636116494354,0.009442208887440275,0.009298067523615453,-0.0001664272290540801,-0.00018770837057280806,-0.00014352933542035017,0.799837925445705,-0.0003105685928789012,-0.00032927871922484566,-0.0002917644512384131,0.9108589951377634,-0.0001441413638248211,-0.0001592308345801883,-0.00013008224527636812,0.6843598055105349,0.008239198375509892,0.007682662148264839,0.006606645100760217,-0.0005565362272450528,-0.0005871193598115006,-0.0005270164788385643,0.9380064829821718,-0.001632553274749674,-0.0016896044766061336,-0.0015682697438039843,0.9963533225283631,-0.0010760170475046212,-0.0011135521951539827,-0.0010337302792776286,0.9906807131280388,0.004219760134941831,0.003995587487557976,0.0038242464897922253,-0.00022417264738385423,-0.0002335101029972269,-0.00021422182726376076,0.9813614262560778,-0.00039551364514960513,-0.00040751808052582315,-0.000382207111465394,0.9967585089141004,-0.0001713409977657509,-0.00017830478584893294,-0.0001640275050446116,0.8703403565640194
D10,mid,2467,V13 seam_NORMAL tertile,"(0.01163887, 0.02827142]",34.261333534927424,34.390620429242766,34.49271863121933,0.1292868943153413,0.11778765384215267,0.13980211535738762,0.8313741386299148,0.23138509629190862,0.22025622092891323,0.24305506449413689,0.915281718686664,0.10209820197656731,0.09587659980084078,0.1091793545668784,0.7778678556951764,0.9818981759549154,0.982664057949462,0.9831288475279002,0.0007658819945466437,0.0007218676464829215,0.0008046529682773687,0.9367653019862181,0.0012306715729848354,0.0011793287414309946,0.001281108467695826,0.9781110660721524,0.0004647895784381917,0.0004360250672638827,0.0004945739284227198,0.8378597486826105,0.020188608888973097,0.01991103288582041,0.019694474509139148,-0.00027757600315268533,-0.00029710703482671347,-0.0002580730549362822,0.8313741386299148,-0.0004941343798339488,-0.0005143483549469533,-0.0004745936165795932,0.915281718686664,-0.00021655837668126346,-0.00023090394594516705,-0.00020232564407546714,0.7778678556951764,0.019611653097179264,0.01827997928934514,0.015469859104851177,-0.0013316738078341245,-0.0013881105437310623,-0.0012705798336275656,0.967571949736522,-0.0041417939923280855,-0.004330026134572067,-0.003962650854578623,1.0,-0.002810120184493961,-0.002937500066871278,-0.0026820792820826354,1.0,0.011149933519401335,0.010746020660631852,0.0103719868262332,-0.00040391285876948486,-0.0004157529205470688,-0.0003913515903442566,0.9793271179570329,-0.0007779466931681354,-0.000801026065451888,-0.0007550553410673792,0.9987839481151196,-0.0003740338343986505,-0.00038770337784288484,-0.0003604164594417437,0.9870287798946088
D10,high,2468,V13 seam_NORMAL tertile,> 0.02827142,29.521720096999704,29.69661298131296,29.80659978817372,0.17489288431325992,0.16555711535768397,0.1846149999489456,0.9007293354943274,0.2848796911740175,0.27239418457067566,0.29771831966408346,0.9594813614262561,0.1099868068607576,0.10344327252574655,0.11668898592212172,0.7941653160453809,0.9695742452936775,0.9707619766893417,0.9715636387539838,0.001187731395664246,0.0011065436080965087,0.0012766107415698915,0.9635332252836305,0.0019893934603062015,0.0018303579688367163,0.0021721828553495403,0.9955429497568882,0.0008016620646419556,0.0007075798848688588,0.0009096895735499536,0.9023500810372771,0.03420753115440932,0.033568968251498486,0.03317558878505938,-0.0006385629029108311,-0.0006626046366346703,-0.0006150459744469406,0.9007293354943274,-0.001031942369349941,-0.0010664793183858018,-0.0009985369346383808,0.9594813614262561,-0.00039337946643910974,-0.00041730805264138335,-0.0003668032770151516,0.7941653160453809,0.03965965887483336,0.036560419980871284,0.030329733529253416,-0.0030992388939620804,-0.003272735863351195,-0.0029322130725956018,0.9837925445705025,-0.009329925345579944,-0.00971230016080947,-0.00896363020342103,1.0,-0.006230686451617864,-0.006458754821588411,-0.006024516097098601,1.0,0.021785184535359423,0.021018527524781262,0.02021704775558987,-0.0007666570105781625,-0.0007969140783261743,-0.0007364946869717239,0.9951377633711507,-0.0015681367797695546,-0.0016280261987971115,-0.0015117102053255453,1.0,-0.0008014797691913922,-0.0008350221177365335,-0.0007710218399187073,0.9987844408427877
D4,low,2468,V13 seam_NORMAL tertile,<= 0.01163887,43.34989818411928,43.567364499705796,43.72584486506261,0.2174663155865208,0.19223705092049617,0.2425165799832039,0.8192868719611021,0.37594668094333444,0.3502072402822781,0.4021363283403762,0.9124797406807131,0.15848036535681365,0.14037411269897185,0.17658579380476655,0.7050243111831442,0.9947041652287618,0.9950656298445342,0.995271027764393,0.00036146461577237713,0.000328637308582371,0.00039291115450511293,0.8978930307941653,0.000566862535631251,0.0005277627868621709,0.0006075299630210757,0.9615072933549432,0.00020539791985887376,0.00018765534894906092,0.00022302953469019072,0.7220421393841167,0.009146190844987545,0.008951315414953653,0.008779649018303219,-0.00019487543003389278,-0.00022010052741655076,-0.00016892704255420013,0.8192868719611021,-0.0003665418266843268,-0.00039273642258524927,-0.0003405955325640439,0.9124797406807131,-0.000171666396650434,-0.0001849133487646495,-0.00015779142671320547,0.7050243111831442,0.008145733266690372,0.007657799646992318,0.0065766827454182926,-0.00048793361969805374,-0.0005184875718021511,-0.00045604313663508063,0.9039708265802269,-0.001569050521272079,-0.001630298079235612,-0.0015028861721032003,0.9927066450567261,-0.0010811169015740255,-0.0011250647546577634,-0.0010365245100890702,0.9902755267423015,0.0039270334136789296,0.0037470780305656477,0.003550814296975709,-0.00017995538311328202,-0.00019044985598493013,-0.00016957762323444346,0.9509724473257699,-0.0003762191167032207,-0.0003898727085371234,-0.000361627117318345,0.9910858995137763,-0.0001962637335899387,-0.0002058722035225186,-0.0001869923020224469,0.8723662884927067
